user_id,gender,location,user_watch_history,preferred_genre,preferred_country
U000034,Female,Argentina,"[""king2hearts"", ""the fabulous"", ""yamada-kun to 7-nin no majo"", ""the legend of the blue sea"", ""angel's last mission: love"", ""lovely writer special episode"", ""before we get married"", ""good-bye, mr. black"", ""imawa no kuni no alice"", ""choco milk shake"", ""misaeng: incomplete life"", ""a korean odyssey"", ""dark hole"", ""que sera, sera"", ""heading to the ground"", ""cheese in the trap"", ""cinderella's sister"", ""coffee prince"", ""adult trainee"", ""the heirs""]",Supernatural,South Korea
U000035,Female,India,"[""chains of heart"", ""goblin""]",Romance,Japan
U000036,Female,United Kingdom,"[""w"", ""move to heaven"", ""hometown cha-cha-cha"", ""fish upon the sky"", ""your house helper"", ""hunting"", ""my huckleberry friends""]",Youth,South Korea
U000037,Female,United Kingdom,"[""drunken to love you"", ""goblin"", ""the boy next door"", ""duel"", ""my holo love"", ""we best love: no. 1 for you special edition""]",Sci-Fi,Taiwan
U000038,Female,Brazil,"[""the king\u2019s avatar"", ""i promised you the moon"", ""kill it"", ""d.p."", ""mirai nikki"", ""strong woman do bong soon"", ""alchemy of souls season 2: light and shadow""]",Action,Thailand
U000039,Female,United States,"[""hwarang"", ""the heirs"", ""forest""]",Romance,South Korea
U000040,Female,United States,"[""girl from nowhere season 2"", ""jugglers"", ""strangers from hell"", ""the nokdu flower"", ""the crowned clown"", ""train"", ""the guardians"", ""to sir, with love""]",Drama,South Korea
U000041,Female,United Kingdom,"[""coffee prince""]",Drama,Thailand
U000042,Female,United States,"[""touch your heart"", ""are you human too?"", ""personal taste"", ""the romance of tiger and rose"", ""tempted"", ""to my star season 2: our untold stories"", ""lie to me"", ""love in a loop"", ""golden rainbow"", ""hope or dope"", ""boys over flowers"", ""sassy go go"", ""healer"", ""the director who buys me dinner""]",Mystery,South Korea
U000043,Female,Germany,"[""itaewon class"", ""east of eden"", ""replay: the moment when it starts again"", ""the heirs"", ""vampire prosecutor 2"", ""i'm not a robot"", ""my amazing boyfriend"", ""the penthouse: war in life"", ""at a distance, spring is green"", ""the beauty inside""]",Youth,South Korea
U000044,Female,Canada,"[""she was pretty"", ""extraordinary you""]",Supernatural,South Korea
U000045,Female,Ireland,"[""it's beautiful now"", ""abyss"", ""about is love season 2"", ""the untamed"", ""a love so beautiful-1"", ""graceful family"", ""the eternal love season 3""]",Fantasy,China
U000046,Female,United States,"[""another miss oh"", ""the penthouse season 2: war in life"", ""hwang jin yi"", ""my strange hero"", ""that man oh soo"", ""investiture of the gods"", ""best wedding"", ""catch the ghost""]",Mystery,South Korea
U000047,Male,Canada,"[""extracurricular""]",Thriller,South Korea
U000048,Female,Australia,"[""history2: crossing the line"", ""money heist: korea - joint economic area - part 2"", ""tumbling""]",Youth,Thailand
U000049,Male,Brazil,"[""a shoulder to cry on"", ""call of the country"", ""legend of yun qian"", ""d.p."", ""time"", ""star in my heart"", ""true beauty"", ""bokura no micro na shuumatsu"", ""100 days my prince"", ""beyond evil"", ""touch me if you can"", ""where your eyes linger"", ""i promised you the moon"", ""1 litre no namida"", ""law school"", ""money game"", ""boku no ita jikan"", ""playful kiss"", ""we best love: no. 1 for you"", ""new generation: because i have a home""]",Drama,China
U000050,Female,Australia,"[""our beloved summer""]",Youth,Taiwan
U000051,Male,United States,"[""to my star"", ""prison playbook"", ""descendants of the sun"", ""reset"", ""pinocchio"", ""birthcare center"", ""ying ye 3+1"", ""bulgasal: immortal souls"", ""class of lies"", ""alchemy of souls season 2: light and shadow""]",Youth,South Korea
U000052,Female,Poland,"[""kakafukaka"", ""to the beautiful you"", ""yumi's cells"", ""love & wish"", ""squid game"", ""the great ruler"", ""absolute boyfriend"", ""attention, love!"", ""when the devil calls your name"", ""judge vs. judge"", ""well-intended love""]",Drama,Philippines
U000053,Female,United Kingdom,"[""code blue season 2"", ""lucky seven"", ""papa & daddy"", ""good morning call: our campus days"", ""miss crow with mr. lizard"", ""my id is gangnam beauty"", ""yamada-kun to 7-nin no majo""]",Business,Japan
U000054,Female,United States,"[""deal lover"", ""emergency couple"", ""plus nine boys"", ""the devil judge"", ""mine"", ""boys over flowers"", ""my first first love 2"", ""city hunter"", ""romanced"", ""a korean odyssey"", ""color rush season 2"", ""love like the galaxy: part 1"", ""court lady"", ""mr. queen"", ""mr. sunshine"", ""marriage, not dating"", ""happiness"", ""just between lovers"", ""guardian"", ""start-up""]",Thriller,South Korea
U000055,Male,United States,"[""accidentally in love"", ""weak hero class 1""]",Life,South Korea
U000056,Male,Poland,"[""reply 1988"", ""you're beautiful"", ""hyde, jekyll, me"", ""lost romance"", ""vincenzo"", ""kiss me""]",Comedy,Japan
U000057,Female,Iceland,"[""my love from the star"", ""7th grade civil servant"", ""angry mom"", ""at a distance, spring is green"", ""the k2"", ""dear.m"", ""i order you"", ""the beauty inside"", ""our beloved summer"", ""maou"", ""big"", ""i'm not a robot""]",Melodrama,South Korea
U000058,Female,United States,"[""twenty-five twenty-one"", ""the time we were not in love"", ""she was pretty"", ""my love from the star"", ""oh my ghost"", ""doctor prisoner"", ""goong"", ""do you like brahms?"", ""melting me softly"", ""sunshine of my life"", ""money heist: korea - joint economic area - part 2"", ""flower boy next door"", ""we best love: fighting mr. 2nd"", ""romanced"", ""the beauty inside""]",Youth,South Korea
U000059,Female,United States,"[""abyss"", ""drama stage season 3: everyone is there"", ""love all play"", ""law school"", ""dr. frost"", ""the flatterer"", ""novoland: pearl eclipse"", ""the master's sun"", ""suspicious partner"", ""romance is a bonus book"", ""vincenzo"", ""en of love: tossara"", ""d.p."", ""everyone wants to meet you"", ""the innocent man"", ""clean with passion for now"", ""mary stayed out all night"", ""doctor john"", ""takara-kun to amagi-kun"", ""it's okay to not be okay""]",Thriller,South Korea
U000060,Female,United Kingdom,"[""roommates of poongduck 304"", ""kounodori"", ""descendants of the sun"", ""ireland"", ""love sick"", ""witch's romance"", ""coffee melody"", ""my father is strange""]",Romance,China
U000061,Female,France,"[""my secret romance"", ""okaeri mone"", ""kahogo no kahoko - 2018 love & dream"", ""my roommate is a detective"", ""utsukushii kare"", ""something about 1 percent"", ""click your heart"", ""goddess of fire"", ""dali and the cocky prince"", ""be arrogant"", ""you are my hero""]",Romance,China
U000062,Female,Spain,"[""109 strange things"", ""love yunge from the desert""]",Romance,South Korea
U000063,Female,Philippines,"[""vagabond"", ""doom at your service"", ""i'm not a robot special""]",Comedy,South Korea
U000064,Female,United Kingdom,"[""so i married an anti-fan"", ""reply 1988"", ""our beloved summer"", ""best mistake season 2"", ""can i step in?"", ""i told sunset about you"", ""obsessed with heart""]",Drama,China
U000065,Female,Canada,"[""come and hug me"", ""crash landing on you"", ""healer"", ""familiar wife"", ""light on me"", ""the sound of magic"", ""love alarm season 2"", ""cheer up"", ""sword and flower"", ""mistress"", ""welcome 2 life"", ""prison playbook"", ""school 2013""]",Thriller,South Korea
U000066,Male,United States,"[""w"", ""oh my venus""]",Romance,Thailand
U000067,Non-binary,United Kingdom,"[""goblin""]",Life,South Korea
U000068,Female,Australia,"[""i cannot hug you"", ""stairway to stardom""]",Comedy,South Korea
U000069,Female,South Korea,"[""descendants of the sun"", ""arang and the magistrate"", ""touch your heart"", ""reply 1997"", ""entourage"", ""vice versa""]",Fantasy,South Korea
U000070,Female,United States,"[""when we were young-1"", ""the beauty inside"", ""spy"", ""to the beautiful you"", ""twenty-five twenty-one""]",Romance,Japan
U000071,Female,United States,"[""a business proposal""]",Romance,South Korea
U000072,Male,Canada,"[""doctor stranger"", ""goong s"", ""hotel del luna""]",Romance,South Korea
U000073,Female,United States,"[""the king: eternal monarch"", ""a first love story"", ""radio romance""]",Comedy,South Korea
U000074,Female,Singapore,"[""angel's last mission: love"", ""to the beautiful you"", ""navillera"", ""iljimae"", ""misaeng: incomplete life"", ""boys over flowers"", ""the uncanny counter"", ""l.u.c.a.: the beginning"", ""voice-1"", ""just between lovers"", ""sky castle"", ""memorist"", ""toshi no sakon"", ""pride and prejudice"", ""she knows everything"", ""the interest of love"", ""hellbound"", ""my roommate is a gumiho"", ""catch the ghost"", ""the light in your eyes""]",Law,South Korea
U000075,Male,United States,"[""trot lovers""]",Drama,South Korea
U000076,Female,United States,"[""the legend of the blue sea"", ""baker boys"", ""because this is my first life"", ""the k2"", ""school 2017"", ""meteor garden"", ""my lethal man""]",Mystery,South Korea
U000077,Female,Thailand,"[""liar game"", ""fated to love you-1"", ""bed friend"", ""secret of three kingdoms"", ""under the queen's umbrella"", ""iron ladies"", ""reborn rich"", ""love scenery"", ""fall in love with me"", ""before we get married"", ""crash landing on you"", ""history3: trapped"", ""senior secret love: puppy honey"", ""crime crackdown"", ""marry me, or not?"", ""we best love: no. 1 for you""]",Political,Taiwan
U000078,Female,Pakistan,"[""all of us are dead"", ""god's quiz: reboot""]",Drama,South Korea
U000079,Female,Philippines,"[""hit the top"", ""dr. frost""]",Drama,South Korea
U000080,Female,Philippines,"[""ever night"", ""who's not rebellious youth"", ""reunited worlds"", ""our glamorous time"", ""thank you, doctor"", ""the lover"", ""start-up"", ""w special"", ""my dear lady"", ""prince of lan ling"", ""dream high season 2"", ""my bratty princess"", ""accidentally in love"", ""find yourself""]",Music,China
U000081,Female,India,"[""bad guys"", ""untouchable lovers"", ""time slip dr. jin"", ""in between"", ""not me"", ""forecasting love and weather"", ""stranger"", ""memories of the alhambra""]",Romance,South Korea
U000082,Female,United States,"[""yyy"", ""the best of you in my mind"", ""tomorrow with you"", ""count your lucky stars"", ""search: www"", ""the shipper"", ""rugal"", ""fated to love you"", ""do do sol sol la la sol"", ""introverted boss"", ""oh! my lady""]",Comedy,Thailand
U000083,Female,Colombia,"[""douluo continent"", ""tharntype season 2: 7 years of love"", ""the secret message"", ""the yearbook"", ""d.i.e."", ""who are you: school 2015"", ""almost lover"", ""you're beautiful"", ""love with flaws"", ""my love from the star"", ""skate into love""]",Drama,China
U000084,Female,United States,"[""kingdom season 2"", ""we are all alone"", ""scarlet heart season 2"", ""love between fairy and devil""]",Crime,China
U000085,Female,Trinidad and Tobago,"[""the eighth sense"", ""prosecutor princess"", ""it's okay, that's love"", ""my lovely girl"", ""doctor john"", ""go, back diary"", ""city hunter""]",Drama,Thailand
U000086,Female,India,"[""lighter & princess"", ""goblin""]",Romance,South Korea
U000087,Female,Philippines,"[""squid game"", ""my roommate is a gumiho"", ""it's okay to not be okay"", ""hwang jin yi"", ""vincenzo"", ""about time"", ""happiness"", ""let me be your knight"", ""mirror of the witch"", ""the good detective"", ""hwarang"", ""your honor"", ""when the camellia blooms"", ""what's wrong with secretary kim""]",Horror,South Korea
U000088,Female,Canada,"[""the hymn of death"", ""we best love: fighting mr. 2nd - special episode 6.5"", ""clean with passion for now"", ""daisuki!!"", ""you're beautiful"", ""longing for spring"", ""iris""]",Romance,China
U000089,Female,Italy,"[""scripting your destiny""]",Romance,South Korea
U000090,Male,Australia,"[""my country: the new age"", ""the legend of qin"", ""the three gentlebros"", ""the suspicious housekeeper"", ""a shoulder to cry on"", ""mars""]",Melodrama,South Korea
U000091,Female,United States,"[""she was pretty"", ""love destiny"", ""doctor stranger"", ""my love from the star"", ""silent"", ""good manager"", ""mouse"", ""the bride of habaek"", ""big"", ""when a man's in love"", ""king flower"", ""all in"", ""rookie historian goo hae ryung"", ""entertainer"", ""the wolf"", ""memorist"", ""reflection of you"", ""the romance of tiger and rose"", ""drama special season 8: dancing the waltz alone"", ""dragon day, you're dead""]",Romance,South Korea
U000092,Female,United States,"[""true beauty"", ""he is psychometric"", ""vagabond"", ""something about 1 percent"", ""money heist: korea - joint economic area - part 1""]",Sports,South Korea
U000093,Male,United States,"[""a korean odyssey"", ""ma boy"", ""angel's last mission: love"", ""the love of winter"", ""start-up"", ""to the beautiful you"", ""zombie detective"", ""shadow beauty"", ""she was pretty"", ""chugakusei nikki"", ""oh my ghost""]",Romance,Japan
U000094,Female,Philippines,"[""stairway to heaven"", ""life on mars"", ""you're beautiful"", ""lovers of the red sky"", ""homemade love story"", ""arthdal chronicles part 2: the sky turning inside out, rising land"", ""all of us are dead"", ""flower of evil"", ""mirror of the witch"", ""discovery of romance-1"", ""i told sunset about you"", ""move to heaven"", ""who are you: school 2015""]",Fantasy,South Korea
U000095,Female,United Kingdom,"[""unintentional love story"", ""proud of love"", ""hotel del luna"", ""2wish"", ""w"", ""snowdrop"", ""tell me what you saw"", ""uncontrollably fond"", ""the undateables"", ""pinocchio"", ""rookie historian goo hae ryung""]",Supernatural,South Korea
U000096,Female,United States,"[""the blooms at ruyi pavilion:  spin-off"", ""dear.m"", ""gen y""]",Supernatural,China
U000097,Female,Philippines,"[""nail shop paris"", ""good morning call"", ""slam dance"", ""100-manen no onna-tachi""]",Comedy,Thailand
U000098,Male,India,"[""young blood"", ""are you human too?"", ""oh! my emperor"", ""history1: my hero"", ""history2: crossing the line"", ""fated to love you-1"", ""tunnel"", ""memory love"", ""orange marmalade""]",Fantasy,Taiwan
U000099,Female,United States,"[""unintentional love story"", ""the glory part 2"", ""are you human too?"", ""neung nai suang"", ""imawa no kuni no alice"", ""marriage, not dating"", ""weightlifting fairy kim bok joo""]",Action,South Korea
U000100,Male,Iceland,"[""moon lovers: scarlet heart ryeo"", ""theory of love"", ""the best of you in my mind""]",Romance,Thailand
U000101,Prefer not to say,United States,"[""our blues"", ""sh**ting stars"", ""summer nude"", ""goong s"", ""you raise me up"", ""eulachacha waikiki"", ""when the camellia blooms"", ""pearl next door"", ""the tale of nokdu"", ""lovely writer"", ""extraordinary you"", ""lovers in paris"", ""introverted boss"", ""love stage!!"", ""a business proposal"", ""where your eyes linger"", ""kill it""]",Drama,South Korea
U000102,Female,Philippines,"[""vincenzo""]",Drama,South Korea
U000103,Female,Brazil,"[""the brightest star in the sky"", ""tale of the nine-tailed""]",Romance,South Korea
U000104,Female,Germany,"[""d.p."", ""sell your haunted house"", ""nevertheless,"", ""fall in love-1"", ""semantic error"", ""accidentally in love""]",Romance,South Korea
U000105,Female,United States,"[""cat's bar"", ""bride of the century"", ""craving you"", ""tonhon chonlatee"", ""mr. bad"", ""dear.m"", ""1 litre no namida"", ""i've fallen for you"", ""the war of flowers""]",Romance,Thailand
U000106,Female,Taiwan,"[""playful kiss"", ""live up to your name"", ""well-intended love""]",Romance,South Korea
U000107,Female,United States,"[""partners for justice season 2""]",Comedy,South Korea
U000108,Female,Brazil,"[""what's wrong with secretary kim""]",Comedy,Japan
U000109,Female,China,"[""prosecutor princess"", ""the flame's daughter"", ""nail shop paris"", ""our skyy"", ""introverted boss"", ""bad romeo"", ""it's okay, that's love"", ""love between fairy and devil"", ""make it right"", ""something in the rain"", ""history3: trapped"", ""a place in the sun"", ""nine kilometers of love"", ""beautiful gong shim"", ""wok of love"", ""love in the moonlight"", ""zettai reido"", ""d.p."", ""itaewon class"", ""royal rumours""]",Drama,Japan
U000110,Female,United States,"[""entertainer"", ""stranger season 2"", ""god's gift - 14 days: special""]",Drama,South Korea
U000111,Female,United States,"[""perfume"", ""what happens to my family?"", ""yi san"", ""can you hear my heart"", ""hana nochi hare: hanadan next season"", ""player"", ""descendants of the sun"", ""vincenzo"", ""once upon a time in saengchori""]",Thriller,South Korea
U000112,Female,United States,"[""please come back, mister"", ""my tooth your love"", ""the legend of the blue sea""]",Supernatural,Taiwan
U000113,Female,France,"[""find me in your memory"", ""reply 1994"", ""salamander guru and the gang"", ""while you were sleeping"", ""my girlfriend is a gumiho"", ""high school king of savvy"", ""siege in fog""]",Action,South Korea
U000114,Female,United Kingdom,"[""somehow 18"", ""my lovely sam soon"", ""kinnporsche"", ""gunshi kanbei"", ""loving, never forgetting"", ""manner of death"", ""a tale of thousand stars"", ""mood indigo"", ""you're all surrounded"", ""when time stopped"", ""rak rai"", ""my only love song"", ""sotus"", ""snowdrop"", ""oh! my lady"", ""ugly duckling series: don't"", ""my love from the star"", ""it's okay to not be okay"", ""six flying dragons"", ""crash landing on you""]",Drama,Thailand
U000115,Female,Mexico,"[""be melodramatic"", ""my day"", ""w.h.y."", ""thirty-nine"", ""emergency couple"", ""looking forward to romance"", ""great men academy"", ""lost days"", ""suits-1"", ""bad guys: city of evil"", ""because this is my first life""]",Fantasy,South Korea
U000116,Female,Canada,"[""sunshine of my life"", ""the romance of tiger and rose""]",Historical,China
U000117,Male,United States,"[""boys over flowers"", ""bride of the century"", ""a beautiful mind"", ""my id is gangnam beauty""]",Political,South Korea
U000118,Female,Philippines,"[""assistant of superstar"", ""love shuffle"", ""it's okay to not be okay"", ""5-ji kara 9-ji made"", ""the life of the white fox"", ""nobunaga concerto""]",Romance,China
U000119,Male,Italy,"[""the law cafe"", ""nail shop paris"", ""suspicious partner"", ""abyss"", ""yumi's cells""]",Action,South Korea
U000120,Female,Brazil,"[""oh! boarding house"", ""kill me, heal me"", ""why women love"", ""the love you give me"", ""she would never know"", ""jang ok jung"", ""legend of concubine zhen huan"", ""mr. fighting"", ""nice witch"", ""romance is a bonus book"", ""suits-1"", ""the veil""]",Comedy,South Korea
U000121,Female,United States,"[""theory of love"", ""30-sai made dotei da to mahotsukai ni nareru rashii"", ""reply 1988"", ""love syndrome iii"", ""master of study"", ""#remolove: futsuu no koi wa jado"", ""kazoku no katachi"", ""make it right"", ""one more time"", ""the comments"", ""eulachacha waikiki"", ""moebius: the veil"", ""lucky's first love"", ""sassy go go"", ""tsuge & minato"", ""cheer up"", ""mood indigo""]",Youth,Japan
U000122,Female,Portugal,"[""the long ballad"", ""ghost"", ""well-intended love"", ""master devil do not kiss me"", ""the blooms at ruyi pavilion"", ""flavour it's yours""]",Sitcom,China
U000123,Female,United Kingdom,"[""rakshasa street"", ""a dream of splendor"", ""midsummer is full of love"", ""taxi driver"", ""the queen of attack""]",Food,China
U000124,Female,United Kingdom,"[""the heirs"", ""make it right""]",Comedy,Thailand
U000125,Female,United States,"[""from now on, showtime!""]",Romance,Thailand
U000126,Female,United States,"[""to my star"", ""ms. temper & nam jung gi"", ""uchi no otto wa shigoto ga dekinai"", ""oh my venus"", ""skip beat!"", ""positive physique"", ""bride of the century"", ""the tasty florida"", ""hanazakari no kimitachi e special"", ""pretty li hui zhen"", ""color rush"", ""refresh man"", ""extraordinary attorney woo"", ""revenge of others"", ""your house helper"", ""my id is gangnam beauty"", ""hotel king"", ""the royal gambler"", ""strong woman do bong soon"", ""love me if you dare""]",Comedy,South Korea
U000127,Female,United States,"[""my dream"", ""mysterious love"", ""hotel del luna"", ""the ghost detective"", ""the crowned clown"", ""chicago typewriter"", ""rookie historian goo hae ryung"", ""adult trainee"", ""anna"", ""the master's sun"", ""you're all surrounded"", ""moon lovers: scarlet heart ryeo"", ""kingdom"", ""two weeks-1"", ""hana yori dango 2""]",Romance,South Korea
U000128,Female,Netherlands,"[""semantic error"", ""itaewon class"", ""while you were sleeping"", ""the fiery priest"", ""w"", ""jugglers""]",Psychological,South Korea
U000129,Female,Germany,"[""my first first love"", ""the beauty inside"", ""my lovely sam soon"", ""search: www"", ""juvenile justice""]",Drama,China
U000130,Female,Turkey,"[""hirugao"", ""goblin""]",Romance,South Korea
U000131,Female,India,"[""moon lovers: scarlet heart ryeo"", ""ti amo chocolate"", ""imawa no kuni no alice season 2"", ""w"", ""discovery of romance"", ""yume wo ataeru""]",Fantasy,Japan
U000132,Female,United Kingdom,"[""money heist: korea - joint economic area - part 1""]",Drama,South Korea
U000133,Male,Indonesia,"[""twenty years old""]",Romance,China
U000134,Female,Netherlands,"[""the king's woman"", ""school 2017"", ""the king: eternal monarch""]",Drama,South Korea
U000135,Male,United States,"[""ashes of love"", ""go go squid!""]",Political,China
U000136,Female,India,"[""crazy love"", ""descendants of the sun"", ""last cinderella"", ""private lives"", ""abyss""]",Medical,South Korea
U000137,Male,United States,"[""because it's the first time"", ""the red sleeve"", ""one more happy ending"", ""a little thing called first love""]",Military,South Korea
U000138,Female,United States,"[""make a wish-1""]",Business,Thailand
U000139,Female,Canada,"[""save me"", ""horse doctor"", ""radio romance"", ""moon embracing the sun"", ""black""]",Drama,South Korea
U000140,Female,United States,"[""the guardians"", ""gisou furin"", ""between"", ""mysterious love"", ""assassin academy"", ""a shoulder to cry on"", ""squid game""]",Action,Japan
U000141,Female,United States,"[""the veil"", ""golden rainbow"", ""dream high season 2"", ""boss & me"", ""cheer up, mr. kim!"", ""mad dog"", ""circle"", ""life: senjou no bokura"", ""hotaru no hikari 2"", ""sweet home"", ""together with me"", ""run on"", ""my secret romance"", ""arthdal chronicles part 3: the prelude to all legends"", ""my only love song"", ""sassy go go"", ""descendants of the sun"", ""ugly alert"", ""top management"", ""fish upon the sky""]",Comedy,South Korea
U000142,Female,United States,"[""can we get married?"", ""the package"", ""flower boy ramen shop"", ""the master's sun""]",Romance,South Korea
U000143,Female,Singapore,"[""gokusen"", ""gasohug"", ""idol: the coup"", ""the shipper""]",Drama,South Korea
U000144,Female,United States,"[""abyss"", ""noble, my love"", ""a korean odyssey"", ""the game: towards zero"", ""you are the best!"", ""poseidon"", ""my strange hero"", ""my wife\u2019s having an affair this week"", ""dream high"", ""guilty: kono koi wa tsumi desuka"", ""bad buddy"", ""i cannot hug you""]",Comedy,Japan
