user_id,ab_group,device_type,account_age_days,prior_whiteboard_sessions,plan_region,num_collaborators,feature_tour_completed,templates_used,ai_suggestions_used,whiteboard_actions_per_session,avg_whiteboard_session_duration_min
U11990,control,tablet,25,2,APAC,1,1,1,0,100,41.05
U36529,treatment,mobile,599,18,EU,1,1,2,9,54,22.97
U52259,control,desktop,719,1,APAC,0,1,0,0,91,36.13
U15150,control,desktop,675,6,EU,5,1,3,0,128,61.21
U20086,control,desktop,143,7,LATAM,6,1,2,0,71,28.95
U24646,treatment,tablet,63,6,NA,2,0,5,5,76,33.62
U90068,control,tablet,374,1,NA,8,1,6,0,50,21.91
U97941,control,desktop,350,10,EU,0,1,1,0,66,35.12
U53097,treatment,desktop,401,4,NA,0,0,4,8,85,43.82
U69719,control,desktop,525,4,APAC,0,0,0,0,77,28.36
U53798,control,mobile,226,0,LATAM,0,0,4,0,21,9.61
U69725,treatment,desktop,29,2,NA,1,0,3,16,123,54.78
U90702,control,desktop,591,5,LATAM,1,1,0,0,27,14.58
U19415,treatment,tablet,693,4,NA,1,0,1,4,110,48.37
U33502,treatment,desktop,50,8,APAC,3,1,1,10,118,48.43
U49501,control,tablet,627,7,NA,0,0,1,0,156,61.75
U65593,treatment,desktop,599,3,APAC,0,1,5,1,60,25.47
U16463,treatment,desktop,382,1,EU,5,1,2,8,76,39.1
U68732,control,desktop,619,1,NA,0,0,3,0,52,29.7
U77497,treatment,desktop,271,4,NA,2,1,5,11,89,42.74
U30611,treatment,tablet,545,2,APAC,0,1,2,7,55,26.7
U53382,control,desktop,72,13,LATAM,0,1,2,0,175,76.93
U58870,treatment,desktop,29,15,NA,1,0,2,7,312,153.66
U48827,control,tablet,525,0,EU,4,1,1,0,113,51.02
U74385,control,mobile,112,5,NA,2,1,2,0,85,33.13
U89263,control,desktop,557,7,NA,5,1,0,0,56,29.59
U66457,control,tablet,204,7,NA,1,0,2,0,67,33.41
U66700,treatment,tablet,438,3,APAC,0,0,2,5,57,24.6
U49025,control,desktop,90,5,NA,3,1,3,0,72,31.62
U70992,treatment,desktop,458,1,EU,2,1,4,1,62,26.38
U51651,treatment,tablet,41,1,APAC,0,1,1,7,55,26.19
U84788,control,desktop,132,4,APAC,0,1,5,0,91,41.68
U98795,treatment,desktop,502,2,NA,0,0,14,8,169,68.65
U52862,treatment,desktop,537,11,LATAM,1,1,3,8,49,27.55
U87088,treatment,desktop,383,5,LATAM,4,0,3,3,62,24.27
U77814,control,mobile,675,0,LATAM,6,1,2,0,59,21.83
U75670,treatment,desktop,696,5,APAC,1,0,5,16,67,32.51
U95294,treatment,desktop,446,2,EU,2,1,3,4,140,62.28
U23560,treatment,tablet,406,2,LATAM,8,0,4,4,107,48.17
U52671,control,tablet,496,11,NA,6,1,1,0,83,32.04
U36891,control,desktop,99,3,APAC,7,1,0,0,68,33.69
U90100,control,desktop,232,1,APAC,0,1,0,0,44,18.14
U91146,treatment,desktop,632,11,APAC,2,0,6,15,136,63.84
U91250,treatment,tablet,57,4,EU,1,0,1,5,101,47.01
U91638,treatment,tablet,382,5,APAC,0,1,1,4,48,20.28
U36086,control,desktop,210,6,APAC,6,0,1,0,24,16.55
U63943,control,desktop,408,1,APAC,2,1,3,0,82,34.5
U71871,treatment,tablet,485,3,EU,0,1,4,6,101,49.11
U10585,treatment,desktop,102,5,EU,2,1,0,26,157,69.92
U14772,control,desktop,644,1,LATAM,1,1,2,0,31,14.24
U73272,control,mobile,635,3,APAC,1,1,2,0,78,31.2
U52258,control,desktop,604,15,NA,1,1,5,0,31,17.2
U73921,treatment,desktop,158,3,LATAM,4,0,1,18,78,34.92
U94737,control,desktop,254,0,LATAM,1,1,1,0,119,49.06
U81569,treatment,tablet,634,6,NA,5,1,3,9,94,45.04
U92886,control,mobile,251,3,NA,8,1,0,0,43,18.07
U56399,control,desktop,388,5,LATAM,1,0,1,0,49,28.23
U68868,control,desktop,243,7,LATAM,1,1,2,0,88,33.23
U15138,treatment,mobile,347,7,NA,5,1,1,13,69,32.91
U32031,treatment,mobile,689,0,EU,1,1,0,3,39,17.87
U96538,treatment,desktop,211,4,NA,6,1,4,5,171,70.54
U30764,treatment,tablet,296,1,EU,3,1,6,20,65,33.9
U86800,control,mobile,121,4,NA,1,1,3,0,60,25.55
U37195,treatment,desktop,590,5,NA,8,0,3,4,165,90.56
U77648,treatment,desktop,416,4,LATAM,4,1,3,10,59,28.71
U20820,treatment,tablet,136,7,NA,0,1,6,9,73,35.4
U97142,control,desktop,309,4,NA,0,0,0,0,84,40.11
U63869,control,desktop,53,5,APAC,2,1,0,0,119,65.5
U59772,treatment,tablet,73,4,NA,1,1,5,7,123,53.52
U82184,control,desktop,144,3,NA,1,1,2,0,58,24.84
U78265,treatment,desktop,122,2,EU,0,0,5,6,29,18.37
U49564,treatment,tablet,173,6,APAC,15,0,4,16,70,39.98
U23443,control,mobile,177,6,APAC,0,0,0,0,13,6.27
U35026,treatment,mobile,406,1,EU,4,0,3,5,45,21.1
U33981,treatment,tablet,440,2,APAC,1,0,1,8,71,31.95
U33324,control,tablet,287,2,NA,0,1,1,0,53,29.35
U59862,treatment,mobile,96,2,EU,1,0,0,13,95,36.35
U37355,control,desktop,138,3,EU,0,0,2,0,88,35.41
U98597,control,desktop,308,5,NA,1,0,3,0,87,41.08
U78257,control,desktop,502,9,APAC,2,0,1,0,96,43.18
U14676,control,mobile,527,2,LATAM,3,1,2,0,21,10.47
U74944,treatment,desktop,464,4,APAC,2,1,3,6,151,72.06
U95725,control,desktop,142,6,EU,4,0,0,0,98,45.62
U86890,control,tablet,53,9,EU,1,1,1,0,52,26.82
U73464,control,desktop,451,2,LATAM,1,0,0,0,92,47.26
U56529,treatment,tablet,459,6,LATAM,0,0,4,6,180,70.12
U26851,treatment,desktop,478,7,NA,2,0,6,11,192,82.78
U86677,control,desktop,330,3,EU,1,1,1,0,79,38.8
U49994,control,desktop,166,4,NA,3,1,1,0,144,75.21
U96691,control,desktop,184,10,EU,1,1,1,0,37,18.52
U74519,treatment,desktop,495,5,APAC,5,0,9,4,83,34.63
U52087,treatment,mobile,342,7,NA,2,1,4,13,134,52.85
U11251,control,desktop,384,2,APAC,1,0,1,0,93,45.22
U94233,treatment,desktop,383,3,APAC,0,0,3,3,116,60.71
U92387,control,tablet,459,0,NA,0,1,1,0,54,23.79
U30012,control,desktop,565,5,NA,0,0,1,0,50,28.03
U30668,treatment,desktop,308,6,EU,1,0,6,6,133,68.51
U87969,control,tablet,351,2,EU,1,1,1,0,53,26.95
U21046,control,desktop,294,2,NA,0,0,1,0,66,26.95
U99781,control,tablet,221,5,NA,0,1,0,0,45,18.63
U72762,treatment,desktop,327,3,EU,0,1,3,1,103,65.22
U14672,treatment,tablet,213,9,NA,1,1,3,3,123,53.86
U10731,treatment,mobile,371,3,NA,0,1,7,7,26,16.62
U62942,treatment,desktop,711,2,NA,2,0,1,9,48,25.54
U22187,control,desktop,507,2,LATAM,1,1,2,0,193,81.58
U82247,control,desktop,179,3,EU,7,0,2,0,60,33.64
U19952,control,desktop,662,2,APAC,4,0,2,0,73,34.7
U75496,treatment,tablet,415,1,NA,0,1,5,4,70,29.3
U57791,treatment,tablet,182,5,LATAM,3,1,3,6,33,18.98
U32829,control,mobile,458,6,APAC,10,1,0,0,28,16.36
U47396,control,tablet,350,8,NA,2,1,6,0,134,56.69
U97282,control,desktop,451,0,APAC,4,1,1,0,50,17.2
U76513,treatment,desktop,350,6,LATAM,5,1,7,16,65,33.1
U36527,treatment,desktop,372,0,APAC,1,1,2,6,98,46.36
U44768,control,desktop,457,6,EU,1,1,1,0,192,85.72
U87094,treatment,desktop,464,6,APAC,1,1,1,3,86,49.55
U80053,control,mobile,234,3,NA,3,1,0,0,40,19.16
U77393,control,mobile,179,1,LATAM,4,1,0,0,13,10.46
U26283,treatment,desktop,255,2,LATAM,0,0,8,0,125,56.34
U86445,treatment,desktop,642,3,LATAM,1,0,3,12,35,21.05
U95141,treatment,mobile,582,0,EU,0,1,7,11,27,13.56
U86802,control,desktop,362,7,APAC,2,1,2,0,33,21.52
U64302,control,tablet,331,6,EU,0,1,1,0,62,32.8
U93101,control,desktop,17,3,NA,5,0,0,0,76,36.8
U75011,treatment,mobile,155,3,EU,1,1,8,4,54,25.12
U22522,control,desktop,630,1,LATAM,1,0,3,0,77,34.5
U11616,control,tablet,175,7,EU,2,1,2,0,93,41.03
U48887,control,desktop,202,1,EU,2,1,0,0,59,29.17
U50434,treatment,desktop,166,3,NA,0,0,3,5,79,41.63
U99885,treatment,desktop,99,6,APAC,7,1,4,8,118,50.76
U73485,control,desktop,18,0,LATAM,1,0,1,0,50,23.15
U93407,treatment,desktop,649,7,NA,0,1,3,8,80,41.43
U55384,control,tablet,642,3,NA,1,1,2,0,105,47.77
U97074,treatment,desktop,53,1,NA,1,1,1,7,110,48.37
U52613,treatment,desktop,604,5,NA,10,0,9,9,196,80.53
U31488,control,mobile,100,2,EU,0,0,4,0,33,17.92
U65454,treatment,desktop,30,0,APAC,2,1,4,6,151,79.3
U89524,control,desktop,338,9,EU,0,1,0,0,175,78.97
U42994,treatment,desktop,612,1,APAC,3,1,2,3,116,52.7
U97242,treatment,tablet,540,6,NA,8,1,7,6,147,66.46
U97236,treatment,tablet,159,5,EU,0,1,5,3,129,59.44
U98697,control,tablet,333,5,NA,3,1,0,0,64,28.31
U58378,treatment,tablet,73,3,EU,1,1,6,5,156,67.73
U40832,control,desktop,454,5,EU,2,1,0,0,73,33.29
U19150,treatment,desktop,320,4,EU,1,0,3,9,120,48.73
U65244,treatment,tablet,18,5,NA,4,1,6,4,67,30.56
U54595,control,tablet,594,4,APAC,0,1,2,0,65,26.49
U23204,treatment,desktop,486,6,NA,5,0,6,10,117,48.84
U21795,control,desktop,263,7,NA,1,0,0,0,83,33.52
U84945,control,tablet,156,7,EU,1,1,1,0,116,62.99
U24063,control,desktop,100,4,LATAM,12,0,0,0,55,23.22
U74792,treatment,desktop,425,4,EU,2,1,6,2,50,22.48
U96381,control,tablet,57,3,NA,0,1,0,0,81,42.59
U21481,control,desktop,210,3,EU,5,0,1,0,110,52.16
U98506,treatment,desktop,35,6,APAC,1,0,5,17,69,33.81
U80251,control,tablet,230,6,EU,2,0,3,0,54,22.36
U75452,control,desktop,356,15,NA,4,1,4,0,95,39.06
U91496,treatment,tablet,132,2,LATAM,2,0,4,11,92,39.64
U35254,control,desktop,709,11,NA,7,1,6,0,57,28.07
U11417,treatment,tablet,80,8,APAC,1,1,3,17,87,40.03
U15426,control,desktop,573,10,EU,8,1,0,0,69,35.18
U84538,control,desktop,136,19,EU,5,1,0,0,33,16.07
U34347,treatment,desktop,33,2,NA,2,0,1,9,79,34.92
U31747,control,tablet,686,2,EU,1,0,2,0,43,20.46
U58625,treatment,mobile,241,6,NA,4,1,4,12,54,23.7
U47040,control,desktop,28,2,EU,1,1,1,0,51,20.43
U29406,treatment,desktop,435,0,APAC,1,0,2,10,67,27.52
U61186,control,mobile,116,6,NA,4,1,2,0,89,38.46
U12609,control,mobile,223,2,EU,2,1,0,0,23,13.18
U59896,control,desktop,319,10,LATAM,5,1,0,0,77,38.88
U45182,control,tablet,43,0,NA,3,1,0,0,37,22.66
U57176,treatment,desktop,637,5,EU,0,1,6,9,50,21.74
U21543,control,mobile,285,2,NA,4,1,1,0,36,15.75
U22622,treatment,desktop,262,5,NA,1,0,3,5,78,38.73
U53174,treatment,desktop,339,2,NA,4,0,3,7,85,35.19
U19822,control,mobile,239,4,NA,2,1,1,0,28,13.44
U70713,control,desktop,555,3,EU,1,1,5,0,112,43.05
U24737,treatment,desktop,435,8,EU,2,1,3,2,98,47.61
U95394,control,desktop,613,7,APAC,1,1,9,0,173,77.24
U15501,treatment,desktop,238,7,EU,8,1,4,9,133,58.5
U88710,control,desktop,640,2,LATAM,2,1,0,0,62,33.99
U13327,control,desktop,439,6,EU,0,0,1,0,69,34.94
U60804,treatment,desktop,424,3,NA,2,1,5,7,106,50.66
U89918,control,desktop,435,2,EU,0,0,1,0,50,27.04
U18292,treatment,tablet,563,7,LATAM,0,0,4,6,157,74.01
U19956,control,desktop,485,2,NA,1,1,2,0,59,31.53
U38250,control,desktop,447,10,EU,6,1,8,0,265,107.39
U32362,treatment,desktop,362,0,NA,0,1,1,6,32,14.7
U14041,treatment,tablet,36,4,NA,2,1,5,1,72,34.49
U46574,control,desktop,89,4,LATAM,2,0,3,0,109,56.89
U72972,treatment,desktop,148,9,APAC,0,0,3,15,125,53.96
U96257,treatment,mobile,85,4,NA,5,0,1,11,41,21.97
U59932,treatment,mobile,723,4,APAC,0,1,2,17,36,14.85
U43378,control,mobile,158,7,EU,1,0,3,0,41,17.32
U47131,treatment,desktop,586,7,LATAM,1,1,3,10,141,77.07
U59801,treatment,mobile,642,7,EU,0,0,2,3,44,17.63
U76744,treatment,tablet,427,8,LATAM,1,1,3,7,112,54.69
U22829,control,desktop,437,5,LATAM,3,1,0,0,68,30.07
U85032,control,mobile,249,6,LATAM,2,1,4,0,51,24.3
U84335,control,tablet,190,6,NA,1,1,1,0,45,20.36
U54054,control,tablet,525,5,NA,2,0,2,0,8,9.92
U50231,treatment,desktop,24,3,NA,2,0,4,6,124,54.2
U18047,treatment,desktop,249,0,NA,1,1,3,11,129,54.74
U20043,treatment,desktop,421,3,EU,0,1,3,3,61,35.1
U76324,control,tablet,358,8,APAC,0,0,1,0,39,17.36
U35608,control,desktop,35,2,EU,0,1,0,0,63,27.58
U46121,treatment,tablet,221,9,EU,3,1,5,4,45,25.45
U71473,treatment,desktop,280,4,APAC,3,0,3,6,163,74.72
U35610,treatment,desktop,221,11,LATAM,3,0,3,2,211,92.58
U40837,treatment,tablet,197,8,NA,12,1,2,6,116,63.89
U21692,treatment,desktop,453,7,NA,0,0,4,3,40,21.31
U46826,treatment,desktop,169,8,NA,0,0,9,3,140,56.76
U78641,treatment,desktop,59,4,NA,5,1,4,3,158,68.64
U11713,control,desktop,476,0,NA,0,1,4,0,60,24.34
U60594,control,desktop,534,12,APAC,2,1,3,0,98,46.87
U70319,control,desktop,334,3,APAC,0,0,1,0,83,33.41
U91237,control,desktop,705,8,APAC,8,1,2,0,36,23.29
U75725,treatment,desktop,572,5,NA,10,1,0,9,166,68.5
U97361,control,desktop,349,7,EU,2,1,0,0,73,38.49
U56531,treatment,desktop,65,0,EU,1,1,0,6,101,53.06
U95768,control,desktop,227,2,EU,0,1,4,0,60,31.78
U82370,control,tablet,433,2,NA,0,1,1,0,120,49.4
U85010,control,tablet,262,8,NA,1,1,0,0,32,13.46
U39717,treatment,desktop,225,3,EU,6,1,3,6,120,50.1
U35399,control,desktop,489,11,APAC,0,1,0,0,104,48.91
U62650,control,tablet,181,6,NA,3,1,3,0,117,51.02
U89013,control,desktop,642,6,EU,6,1,3,0,119,47.95
U57676,treatment,tablet,293,4,EU,4,0,2,16,65,35.27
U25975,control,tablet,289,2,EU,1,1,0,0,59,25.86
U45724,treatment,tablet,48,1,APAC,8,1,5,7,116,61.74
U23359,treatment,desktop,231,3,LATAM,1,0,1,1,63,27.66
U50540,treatment,tablet,640,1,EU,1,1,7,6,40,17.19
U50341,treatment,desktop,347,2,EU,1,1,3,5,67,35.04
U25564,control,mobile,462,6,NA,2,0,3,0,38,17.6
U35940,treatment,mobile,442,2,EU,3,0,4,6,40,16.18
U23313,control,desktop,227,10,APAC,5,1,0,0,94,44.18
U28043,treatment,desktop,397,9,EU,0,0,7,4,92,38.96
U96321,treatment,desktop,592,8,NA,1,1,0,6,106,51.43
U35259,treatment,tablet,263,4,LATAM,5,0,2,6,54,30.6
U64307,control,desktop,170,7,EU,1,1,1,0,91,42.53
U32026,control,desktop,372,9,EU,12,0,1,0,101,42.35
U83183,treatment,desktop,701,8,APAC,0,0,3,8,77,31.12
U16112,control,desktop,435,6,EU,3,1,2,0,68,31.15
U48520,control,tablet,58,3,APAC,0,1,3,0,86,38.64
U40085,treatment,desktop,599,4,EU,0,1,0,4,66,33.93
U90653,control,desktop,439,10,APAC,3,0,1,0,31,16.64
U40842,control,desktop,420,10,EU,0,1,2,0,51,31.68
U55406,treatment,desktop,392,0,NA,3,1,3,4,113,44.61
U42523,control,desktop,100,10,APAC,0,1,4,0,76,36.98
U56279,control,mobile,729,7,NA,2,0,4,0,53,20.44
U20921,treatment,tablet,191,4,EU,0,0,3,5,35,14.25
U44498,treatment,tablet,335,0,EU,1,0,7,8,47,19.64
U17278,treatment,desktop,61,4,EU,7,0,5,5,79,36.68
U19606,control,desktop,455,6,NA,1,1,2,0,58,31.27
U54528,treatment,desktop,178,9,LATAM,2,0,5,3,60,30.42
U22948,control,mobile,351,1,APAC,0,1,1,0,29,12.56
U65966,control,tablet,483,3,EU,0,1,5,0,124,62.49
U55258,control,tablet,126,4,EU,5,0,2,0,88,41.89
U38433,control,desktop,132,5,EU,0,0,0,0,113,51.06
U50153,treatment,desktop,621,9,EU,0,1,3,11,199,93.86
U99603,control,desktop,376,1,EU,0,0,2,0,38,18.99
U66398,treatment,mobile,119,2,APAC,0,1,1,6,47,22.32
U83316,treatment,tablet,724,6,NA,1,1,5,5,103,51.54
U42730,control,tablet,250,5,APAC,4,0,5,0,97,41.55
U32356,treatment,tablet,700,4,APAC,3,0,7,5,82,43.73
U50795,control,desktop,321,5,APAC,2,0,5,0,54,31.08
U25717,control,desktop,437,4,APAC,1,1,1,0,58,27.03
U37134,control,tablet,102,6,APAC,1,1,2,0,87,33.92
U57983,treatment,tablet,253,4,EU,1,0,4,4,100,48.99
U85086,treatment,desktop,313,3,NA,4,1,4,9,148,76.03
U40001,control,desktop,276,5,EU,0,1,8,0,73,39.8
U41577,treatment,desktop,453,4,NA,5,1,4,17,103,53.14
U51568,treatment,desktop,334,3,EU,1,1,5,8,111,53.72
U32545,treatment,tablet,691,6,NA,7,1,1,6,90,38.31
U32553,control,desktop,484,7,EU,5,0,1,0,108,50.1
U79876,treatment,desktop,43,12,APAC,0,1,4,10,146,67.73
U52398,control,desktop,326,3,APAC,3,1,3,0,122,46.21
U67822,control,desktop,26,1,NA,0,1,0,0,165,73.36
U53024,treatment,desktop,34,5,EU,1,1,1,1,68,28.11
U98129,treatment,tablet,87,9,NA,0,1,6,4,117,60.06
U55279,control,desktop,260,0,EU,1,1,0,0,63,23.99
U37677,control,desktop,589,6,NA,1,0,1,0,135,53.45
U30937,control,desktop,671,3,LATAM,3,0,7,0,189,101.49
U43382,control,desktop,506,3,EU,3,1,2,0,90,37.73
U59005,treatment,tablet,185,2,APAC,0,1,3,10,111,44.74
U96371,treatment,desktop,239,4,EU,0,0,4,9,92,34.72
U36718,treatment,desktop,68,8,NA,3,1,6,6,60,31.61
U82391,control,tablet,102,4,LATAM,1,1,0,0,38,26.06
U76013,control,desktop,588,5,NA,0,0,1,0,157,60.72
U65317,control,desktop,94,4,NA,2,1,2,0,45,24.17
U74212,control,mobile,231,8,EU,5,0,2,0,52,24.26
U50232,control,tablet,507,1,LATAM,0,0,1,0,33,16.96
U61228,control,desktop,701,4,EU,1,1,0,0,81,45.68
U33349,treatment,tablet,592,4,EU,0,1,6,8,139,56.36
U43341,treatment,desktop,173,8,NA,0,1,0,7,119,66.92
U18987,treatment,desktop,455,1,EU,0,1,3,8,76,33.61
U44499,treatment,desktop,400,4,APAC,2,0,1,3,62,40.14
U92690,treatment,tablet,611,7,LATAM,1,0,13,4,201,82.35
U35913,control,desktop,482,7,NA,5,1,1,0,101,49.28
U41327,treatment,desktop,110,3,LATAM,1,0,4,4,166,83.33
U10277,treatment,desktop,152,2,LATAM,3,1,6,5,98,40.09
U80158,treatment,tablet,126,5,EU,1,0,3,8,60,25.87
U81113,treatment,desktop,400,1,NA,2,1,3,11,81,40.82
U27373,control,desktop,270,6,EU,0,1,4,0,109,47.71
U78956,control,desktop,132,3,LATAM,1,1,0,0,56,24.05
U74584,treatment,tablet,719,1,APAC,12,0,3,10,96,48.51
U19270,treatment,desktop,599,1,NA,3,0,6,7,96,42.46
U42470,control,desktop,355,10,NA,1,1,1,0,117,58.77
U63498,control,desktop,38,3,EU,7,1,3,0,92,42.47
U26665,treatment,tablet,608,7,NA,0,1,5,6,70,38.01
U44657,control,desktop,51,5,APAC,3,1,2,0,105,43.78
U18083,treatment,desktop,314,3,EU,3,0,3,5,93,48.66
U12131,treatment,tablet,616,2,NA,0,0,4,6,58,31.19
U85511,control,mobile,466,2,NA,2,1,3,0,24,14.11
U12237,treatment,desktop,496,6,NA,2,1,4,3,102,48.09
U75592,treatment,tablet,505,10,APAC,1,1,6,10,87,36.69
U61966,control,desktop,714,8,NA,0,1,1,0,51,23.03
U62946,control,tablet,613,1,EU,1,1,2,0,55,28.9
U44363,control,mobile,89,6,LATAM,0,1,0,0,20,12.92
U28395,treatment,desktop,344,6,NA,2,0,6,12,240,102.41
U25353,control,desktop,315,7,APAC,4,1,5,0,130,66.68
U23825,control,tablet,558,8,EU,2,1,1,0,38,19.59
U92840,control,desktop,402,4,APAC,2,0,1,0,90,45.66
U22620,treatment,desktop,477,4,EU,0,1,6,9,94,42.02
U99918,treatment,tablet,79,2,EU,1,0,7,9,32,25.54
U93822,control,mobile,606,2,EU,0,0,0,0,19,12.97
U93474,treatment,desktop,460,2,NA,0,1,2,10,65,24.68
U85515,control,desktop,647,3,APAC,1,0,2,0,56,29.45
U35257,treatment,mobile,102,1,EU,0,1,1,16,40,15.65
U56696,treatment,tablet,362,5,EU,1,0,3,9,84,36.45
U88165,control,desktop,442,1,NA,0,0,0,0,77,37.2
U55735,control,desktop,373,1,APAC,1,0,2,0,34,16.13
U85340,control,mobile,179,2,APAC,1,0,1,0,47,24.86
U75747,treatment,desktop,294,2,EU,0,1,4,5,136,60.19
U46822,treatment,tablet,525,5,EU,1,0,2,7,124,53.47
U46362,control,tablet,324,2,NA,1,1,0,0,62,30.38
U27052,treatment,desktop,517,10,NA,1,0,3,9,112,51.12
U88687,control,desktop,501,2,EU,5,0,1,0,73,33.28
U62887,treatment,tablet,689,3,NA,0,1,4,21,42,21.11
U27517,control,desktop,109,12,APAC,2,1,0,0,104,46.05
U40504,control,desktop,121,1,NA,2,0,3,0,25,15.61
U52558,treatment,desktop,614,3,NA,2,0,4,16,168,67.87
U54032,control,desktop,151,8,EU,1,0,3,0,203,81.72
U37895,treatment,tablet,174,2,EU,0,1,4,18,65,35.48
U42883,control,desktop,45,7,APAC,5,1,3,0,72,36.17
U98160,control,mobile,553,2,EU,0,1,1,0,40,17.6
U57658,treatment,desktop,313,1,APAC,2,0,1,2,115,51.68
