user_id,signup_date,first_session_date,device_type,country_tier,referral_source,num_sessions_30d,total_time_min_30d,projects_created_30d,exports_30d,collaborators_invited_30d,support_tickets_30d,used_premium_feature_preview,ai_assistant_sessions_30d,subscribed
V29603,2024-05-17,2024-05-17,desktop,tier_3,social,8,130,5,6,0,0,1,5,1
V68548,2024-04-02,2024-04-02,desktop,tier_1,paid_ad,1,5,1,3,3,0,1,0,0
V13433,2024-01-20,2024-01-21,desktop,tier_3,paid_ad,3,96,1,5,8,0,0,6,0
V83498,2024-03-13,2024-03-18,mobile,tier_3,organic,4,160,4,2,2,0,1,4,0
V70623,2024-01-21,2024-01-23,desktop,tier_1,paid_ad,4,98,4,3,0,0,0,5,0
V40428,2024-03-08,2024-03-11,desktop,tier_2,social,14,244,3,3,2,1,0,1,0
V16889,2024-05-04,2024-05-07,desktop,tier_1,referral,4,61,4,2,1,1,1,3,0
V31186,2024-05-28,2024-05-28,tablet,tier_3,social,8,110,1,1,1,0,0,2,0
V71333,2024-04-10,2024-04-11,desktop,tier_3,referral,5,140,4,1,3,0,0,7,0
V10337,2024-04-30,2024-05-21,mobile,tier_2,social,8,227,2,1,0,0,0,5,0
V15094,2024-02-04,2024-02-05,mobile,tier_3,referral,6,218,6,7,0,0,0,0,0
V96021,2024-01-30,2024-01-31,mobile,tier_1,referral,12,427,3,2,1,0,0,8,0
V41699,2024-05-27,2024-05-29,desktop,tier_2,social,7,135,1,3,0,0,0,8,0
V73336,2024-04-05,2024-04-06,tablet,tier_2,organic,11,206,0,5,0,0,0,4,0
V11441,2024-06-09,2024-06-10,desktop,tier_1,organic,13,446,2,3,8,1,0,8,1
V17905,2024-01-10,2024-01-16,desktop,tier_3,paid_ad,3,27,1,4,6,0,1,3,1
V36472,2024-02-06,2024-02-06,desktop,tier_1,paid_ad,11,162,1,4,1,2,0,10,1
V45564,2024-06-18,2024-06-18,mobile,tier_2,organic,5,138,3,0,1,0,0,2,0
V99570,2024-04-27,2024-04-27,desktop,tier_1,paid_ad,8,147,1,0,5,0,1,4,1
V96490,2024-01-13,2024-01-14,desktop,tier_1,social,5,82,9,3,0,2,0,2,0
V70336,2024-01-24,2024-01-31,mobile,tier_2,paid_ad,7,129,1,2,2,0,1,6,0
V62378,2024-04-03,2024-04-05,desktop,tier_3,paid_ad,13,347,0,2,3,0,0,2,1
V92285,2024-04-06,2024-04-20,desktop,tier_1,referral,3,95,2,2,2,0,0,2,0
V49986,2024-03-02,2024-03-07,tablet,tier_2,organic,13,268,3,1,0,1,0,8,0
V43422,2024-05-05,2024-05-05,tablet,tier_1,organic,2,67,3,0,3,0,0,3,0
V59898,2024-02-29,2024-02-29,desktop,tier_3,paid_ad,7,181,5,0,2,0,0,2,0
V64861,2024-06-13,2024-06-18,tablet,tier_1,social,7,228,3,2,2,1,0,1,0
V25161,2024-01-17,2024-01-18,desktop,tier_3,paid_ad,13,189,1,0,0,0,0,8,0
V38774,2024-01-19,2024-02-02,desktop,tier_2,social,6,122,1,2,0,2,0,1,0
V88658,2024-03-04,2024-03-05,tablet,tier_3,paid_ad,12,392,3,3,1,0,0,4,0
V98329,2024-02-12,2024-02-15,desktop,tier_2,paid_ad,3,17,1,0,6,0,1,0,0
V22901,2024-03-30,2024-04-20,desktop,tier_3,social,2,5,2,2,2,2,0,0,0
V91215,2024-01-29,2024-02-28,desktop,tier_1,organic,10,216,0,4,2,0,0,7,0
V71315,2024-06-22,2024-07-02,desktop,tier_3,referral,12,215,0,1,0,0,0,7,0
V48529,2024-06-12,2024-06-12,desktop,tier_1,social,5,126,1,1,3,0,0,0,0
V30046,2024-04-12,2024-05-03,tablet,tier_2,paid_ad,1,11,4,2,0,0,0,6,0
V27393,2024-01-06,2024-01-08,desktop,tier_2,social,11,208,0,2,5,1,1,2,1
V50985,2024-04-23,2024-04-29,tablet,tier_1,organic,5,123,7,1,3,2,0,0,0
V12024,2024-05-12,2024-05-15,tablet,tier_1,organic,15,250,0,2,4,2,0,4,1
V70043,2024-04-22,2024-04-22,mobile,tier_1,social,9,213,0,0,0,0,0,3,0
V46697,2024-02-04,2024-02-05,tablet,tier_1,social,11,250,2,3,3,0,0,3,0
V51075,2024-05-07,2024-05-08,desktop,tier_1,organic,8,120,1,1,0,0,0,4,0
V95961,2024-01-14,2024-01-18,desktop,tier_1,organic,14,418,6,2,0,5,0,0,0
V80907,2024-04-27,2024-04-27,tablet,tier_2,paid_ad,10,190,2,5,0,0,0,3,0
V70223,2024-06-05,2024-06-05,tablet,tier_2,paid_ad,9,271,1,0,1,1,1,4,0
V39863,2024-01-12,2024-01-13,tablet,tier_1,paid_ad,8,200,4,1,1,1,0,0,0
V64781,2024-02-28,2024-03-03,desktop,tier_1,organic,7,98,1,0,1,0,0,12,0
V71518,2024-04-01,2024-04-22,desktop,tier_2,social,14,335,3,3,1,2,0,5,0
V60219,2024-03-10,2024-03-17,desktop,tier_1,paid_ad,11,187,2,2,1,1,1,5,0
V92035,2024-03-17,2024-03-21,desktop,tier_2,organic,6,110,4,2,3,1,0,0,0
V96581,2024-01-23,2024-01-23,tablet,tier_3,referral,5,143,0,0,0,1,1,1,1
V12360,2024-03-12,2024-03-17,mobile,tier_1,social,25,808,0,1,0,0,0,9,0
V59136,2024-01-11,2024-01-11,desktop,tier_1,paid_ad,16,499,0,0,0,0,0,4,0
V42950,2024-03-22,2024-03-22,desktop,tier_2,social,5,160,4,4,1,0,1,2,0
V19642,2024-06-08,2024-06-09,desktop,tier_2,paid_ad,30,385,5,2,3,0,0,3,0
V36291,2024-03-23,2024-04-06,tablet,tier_1,social,15,250,2,1,1,0,0,0,0
V64034,2024-02-06,2024-02-12,mobile,tier_2,social,7,184,5,1,2,0,0,4,1
V15069,2024-04-29,2024-05-04,tablet,tier_1,paid_ad,13,460,5,5,4,1,0,5,0
V98118,2024-05-03,2024-05-04,tablet,tier_2,organic,26,734,2,8,0,0,0,3,0
V55305,2024-03-23,2024-03-28,tablet,tier_2,organic,9,149,2,5,0,0,1,3,0
V60727,2024-01-11,2024-01-15,tablet,tier_3,social,1,10,4,0,3,1,0,7,0
V84459,2024-01-15,2024-01-16,desktop,tier_1,organic,6,156,5,3,1,1,0,9,0
V80535,2024-05-05,2024-05-12,desktop,tier_2,referral,5,101,2,1,4,3,0,6,0
V95532,2024-06-23,2024-06-27,desktop,tier_2,social,5,169,1,1,0,2,1,0,1
V94585,2024-04-19,2024-04-20,mobile,tier_2,organic,11,169,0,3,1,0,0,4,1
V97714,2024-05-31,2024-06-05,desktop,tier_2,organic,12,302,4,0,1,0,0,4,0
V32376,2024-01-26,2024-01-29,mobile,tier_1,social,11,356,4,4,0,0,1,6,1
V87169,2024-03-20,2024-03-26,tablet,tier_3,social,14,402,4,1,3,2,0,7,0
V69289,2024-02-29,2024-03-01,desktop,tier_1,organic,18,300,5,4,2,0,0,12,1
V47170,2024-03-07,2024-03-10,mobile,tier_2,organic,6,80,1,2,0,0,0,5,0
V12233,2024-01-29,2024-02-01,desktop,tier_1,referral,5,84,4,3,4,0,0,11,0
V91504,2024-02-20,2024-02-22,desktop,tier_2,organic,6,190,0,6,5,0,0,1,0
V96025,2024-01-23,2024-01-24,tablet,tier_3,social,3,26,4,1,0,1,1,6,0
V39635,2024-06-06,2024-06-13,tablet,tier_1,social,5,75,3,0,0,0,1,9,0
V55492,2024-04-21,2024-04-28,tablet,tier_3,paid_ad,16,291,2,6,2,0,0,5,0
V84268,2024-04-26,2024-04-30,tablet,tier_2,paid_ad,21,612,7,0,2,0,0,9,0
V28931,2024-03-01,2024-03-02,tablet,tier_2,organic,1,43,3,0,6,0,0,1,0
V28117,2024-03-02,2024-03-06,tablet,tier_1,paid_ad,19,308,0,9,4,0,1,1,1
V12570,2024-03-14,2024-03-24,desktop,tier_3,paid_ad,3,72,6,2,1,0,1,3,0
V12999,2024-03-29,2024-04-03,desktop,tier_1,referral,6,163,3,8,0,0,0,0,0
V69468,2024-01-26,2024-01-31,tablet,tier_2,organic,12,299,15,4,1,1,1,4,0
V20854,2024-02-28,2024-03-06,tablet,tier_2,social,14,295,4,2,0,0,0,3,0
V95607,2024-04-14,2024-04-21,desktop,tier_1,social,5,53,2,2,0,0,0,1,0
V49274,2024-05-27,2024-05-30,mobile,tier_2,referral,11,212,3,0,1,0,0,8,0
V21406,2024-02-23,2024-03-08,mobile,tier_2,social,11,135,0,2,1,1,1,1,0
V20637,2024-02-03,2024-02-03,mobile,tier_1,social,12,274,3,4,2,0,0,1,1
V15688,2024-05-26,2024-05-27,desktop,tier_1,organic,11,272,5,1,0,1,0,9,0
V63204,2024-05-26,2024-05-27,tablet,tier_3,social,23,627,2,0,5,0,0,3,0
V14762,2024-06-05,2024-06-10,desktop,tier_2,referral,9,191,4,7,2,0,0,8,0
V34844,2024-06-17,2024-06-17,tablet,tier_3,referral,5,118,6,0,4,0,0,4,0
V44676,2024-02-15,2024-02-15,tablet,tier_2,organic,17,585,0,3,4,0,1,3,1
V11684,2024-05-11,2024-05-13,tablet,tier_3,social,8,98,1,0,1,0,1,1,0
V11923,2024-03-16,2024-03-20,desktop,tier_2,organic,10,320,3,0,1,0,1,1,1
V19576,2024-04-26,2024-04-27,desktop,tier_1,paid_ad,4,101,0,2,2,0,0,2,0
V92312,2024-05-10,2024-05-12,tablet,tier_2,paid_ad,6,124,0,1,1,0,0,1,0
V88566,2024-03-22,2024-03-23,desktop,tier_2,referral,12,450,0,4,1,1,0,1,1
V16574,2024-04-13,2024-04-19,desktop,tier_2,organic,7,95,5,0,0,5,0,17,0
V44674,2024-01-19,2024-01-25,desktop,tier_2,organic,10,194,3,5,0,0,0,0,0
V95909,2024-02-24,2024-02-26,desktop,tier_1,social,3,71,7,7,3,0,1,2,1
V51387,2024-02-05,2024-02-15,desktop,tier_2,referral,7,103,0,1,2,0,0,5,0
V70836,2024-01-12,2024-01-19,desktop,tier_2,paid_ad,6,145,0,0,1,0,1,3,0
V26661,2024-01-10,2024-01-11,mobile,tier_2,referral,8,193,1,2,0,0,0,0,0
V14148,2024-02-25,2024-02-27,mobile,tier_3,social,6,179,1,0,0,0,1,2,1
V76438,2024-02-25,2024-02-27,desktop,tier_1,paid_ad,22,664,3,0,6,0,1,1,1
V34040,2024-03-06,2024-03-06,desktop,tier_1,organic,22,603,1,3,2,1,1,3,0
V40544,2024-06-23,2024-06-27,desktop,tier_2,organic,6,84,1,4,1,1,0,2,0
V17524,2024-06-19,2024-06-20,desktop,tier_2,organic,10,233,5,0,3,2,0,7,0
V42474,2024-04-09,2024-04-23,desktop,tier_3,social,3,34,2,2,0,0,0,1,0
V44518,2024-06-17,2024-06-17,desktop,tier_1,organic,6,156,3,1,0,0,0,1,0
V98857,2024-05-23,2024-05-28,desktop,tier_1,social,10,245,3,0,2,0,0,3,0
V74718,2024-06-14,2024-06-18,desktop,tier_2,organic,14,135,2,2,0,0,0,4,0
V24959,2024-05-13,2024-05-13,desktop,tier_1,social,6,142,2,6,8,0,0,4,0
V13118,2024-05-31,2024-06-04,desktop,tier_1,organic,10,250,0,2,1,0,0,3,0
V70679,2024-03-14,2024-03-18,desktop,tier_1,paid_ad,7,105,2,1,1,0,0,0,0
V80425,2024-01-25,2024-01-31,desktop,tier_1,paid_ad,10,171,3,3,1,0,0,3,0
V15377,2024-05-07,2024-05-08,desktop,tier_3,social,16,476,0,0,2,3,0,1,0
V66357,2024-06-17,2024-06-22,desktop,tier_2,organic,14,397,5,1,2,0,1,1,0
V14863,2024-03-27,2024-04-06,desktop,tier_2,paid_ad,7,140,2,0,0,1,1,4,0
V33240,2024-06-06,2024-06-12,desktop,tier_1,social,9,76,2,1,0,1,1,4,1
V67325,2024-03-14,2024-03-15,desktop,tier_2,referral,7,155,0,1,3,2,0,3,0
V41043,2024-06-11,2024-06-12,desktop,tier_1,organic,2,30,1,2,1,0,0,1,0
V38138,2024-02-15,2024-02-18,desktop,tier_1,referral,3,73,3,1,1,1,1,0,0
V41984,2024-06-24,2024-06-26,tablet,tier_1,paid_ad,2,13,1,0,6,0,1,1,0
V67492,2024-05-05,2024-05-07,desktop,tier_3,organic,1,36,2,5,1,0,0,2,1
V63961,2024-05-28,2024-06-11,mobile,tier_1,organic,5,111,2,3,0,0,0,6,0
V21237,2024-06-10,2024-06-17,tablet,tier_2,organic,8,101,1,2,6,3,0,1,0
V73114,2024-01-30,2024-02-01,desktop,tier_2,organic,13,387,0,0,0,2,0,5,0
V43877,2024-01-29,2024-02-02,tablet,tier_1,referral,9,242,5,1,6,0,0,6,0
V92629,2024-03-04,2024-03-04,tablet,tier_1,organic,12,177,1,4,0,1,0,5,1
V35186,2024-05-01,2024-05-11,tablet,tier_2,organic,13,377,1,1,0,1,1,0,0
V40717,2024-03-02,2024-03-05,tablet,tier_2,organic,5,135,1,2,0,1,1,2,0
V35301,2024-01-21,2024-01-25,tablet,tier_1,organic,5,105,6,3,0,0,0,1,0
V77295,2024-01-04,2024-01-11,tablet,tier_1,organic,11,228,4,0,0,0,0,4,0
V61182,2024-04-19,2024-04-29,desktop,tier_2,organic,10,209,3,4,5,0,1,3,0
V69225,2024-04-04,2024-04-04,desktop,tier_2,referral,10,138,0,2,1,0,0,2,1
V29387,2024-02-28,2024-03-13,mobile,tier_3,organic,5,93,5,2,2,4,0,4,0
V54763,2024-02-27,2024-03-02,tablet,tier_3,social,9,236,0,1,3,0,0,3,0
V90462,2024-06-05,2024-06-06,desktop,tier_1,paid_ad,18,384,1,2,2,2,0,2,0
V51662,2024-01-16,2024-01-20,mobile,tier_1,social,11,295,0,6,3,0,0,6,0
V30444,2024-03-13,2024-04-12,tablet,tier_1,paid_ad,4,107,3,1,2,3,0,0,0
V31964,2024-05-21,2024-05-24,desktop,tier_2,organic,11,380,0,1,2,1,1,1,0
V38412,2024-03-07,2024-03-08,desktop,tier_1,organic,8,131,0,1,5,1,0,2,0
V41631,2024-04-25,2024-05-05,desktop,tier_1,organic,3,46,6,2,0,1,0,7,0
V97796,2024-04-17,2024-04-17,tablet,tier_2,paid_ad,2,11,3,2,2,0,0,12,0
V57353,2024-04-14,2024-04-20,desktop,tier_1,organic,2,50,3,1,1,4,0,1,0
V90564,2024-01-23,2024-01-30,desktop,tier_3,referral,11,345,7,3,0,1,0,3,0
V99155,2024-05-12,2024-05-12,desktop,tier_1,social,11,284,0,0,0,3,0,13,1
V26822,2024-01-05,2024-01-10,desktop,tier_3,organic,10,232,1,4,1,0,0,1,0
V86109,2024-06-05,2024-06-08,desktop,tier_1,paid_ad,5,126,4,7,0,0,0,1,0
V47688,2024-04-02,2024-04-04,desktop,tier_1,referral,6,144,0,4,1,1,0,1,1
V82700,2024-01-21,2024-01-21,desktop,tier_2,organic,5,147,2,0,0,1,0,5,0
V32246,2024-03-08,2024-03-13,desktop,tier_1,paid_ad,17,489,3,1,2,1,0,1,0
V78124,2024-04-20,2024-04-23,mobile,tier_1,social,6,145,0,2,0,1,0,9,1
V40817,2024-05-29,2024-05-30,desktop,tier_1,organic,7,113,2,5,1,0,0,5,0
V71303,2024-03-30,2024-04-01,tablet,tier_2,social,2,48,1,2,8,1,1,3,0
V47241,2024-03-13,2024-03-16,desktop,tier_2,social,4,59,0,3,4,1,0,4,0
V56084,2024-06-04,2024-06-04,desktop,tier_2,organic,6,236,3,0,4,3,0,0,0
V62577,2024-06-14,2024-06-18,desktop,tier_2,referral,3,109,6,6,0,0,0,4,0
V12372,2024-06-27,2024-06-28,tablet,tier_2,organic,11,313,1,3,0,0,0,0,0
V60830,2024-01-16,2024-01-30,desktop,tier_2,social,7,146,6,5,2,3,0,7,0
V21436,2024-01-03,2024-01-07,desktop,tier_1,referral,15,522,0,4,0,0,0,5,0
V13418,2024-06-03,2024-06-03,desktop,tier_1,paid_ad,17,360,2,1,8,0,1,1,0
V54423,2024-03-30,2024-03-31,tablet,tier_2,paid_ad,5,82,1,2,0,0,0,1,0
V67773,2024-01-24,2024-01-25,desktop,tier_3,social,5,78,3,2,0,0,0,6,0
V23966,2024-04-26,2024-05-01,mobile,tier_1,referral,8,127,1,1,0,2,0,6,0
V60430,2024-06-29,2024-07-04,desktop,tier_3,social,13,234,1,1,1,0,0,10,0
V24896,2024-02-27,2024-02-28,desktop,tier_1,organic,2,45,0,1,1,1,0,0,1
V45033,2024-05-25,2024-05-28,desktop,tier_1,organic,1,7,0,1,3,0,0,3,0
V82876,2024-05-28,2024-05-31,tablet,tier_1,organic,5,56,0,2,0,0,1,1,0
V98693,2024-03-25,2024-03-25,desktop,tier_2,organic,3,74,5,1,4,0,0,4,0
V87840,2024-05-24,2024-05-25,desktop,tier_2,organic,5,138,4,3,0,0,0,3,1
V93614,2024-03-07,2024-03-08,tablet,tier_3,referral,33,429,2,0,1,0,0,2,0
V88388,2024-06-11,2024-07-11,desktop,tier_2,organic,12,176,3,0,1,0,0,8,0
V79814,2024-05-11,2024-05-16,desktop,tier_1,organic,5,88,1,1,0,0,0,4,0
V24349,2024-01-01,2024-01-03,tablet,tier_1,social,15,332,2,2,1,1,0,3,0
V79839,2024-02-26,2024-03-03,tablet,tier_3,referral,6,79,0,1,3,0,0,4,0
V59386,2024-01-21,2024-01-21,desktop,tier_1,organic,7,211,2,2,0,0,0,2,0
V37324,2024-04-04,2024-04-04,desktop,tier_1,organic,2,53,9,5,1,0,0,4,1
V16737,2024-03-02,2024-03-06,desktop,tier_1,organic,12,202,0,1,0,0,1,1,0
V20978,2024-03-09,2024-03-09,mobile,tier_2,organic,14,254,3,3,3,0,0,7,0
V13076,2024-01-25,2024-01-27,tablet,tier_2,social,8,209,4,2,4,0,1,4,1
V52367,2024-04-09,2024-04-30,tablet,tier_2,organic,5,131,3,7,2,3,0,1,0
V81695,2024-05-02,2024-05-03,tablet,tier_1,organic,1,5,5,2,0,1,0,0,0
V64469,2024-05-27,2024-05-27,tablet,tier_3,organic,7,197,8,0,0,1,1,6,0
V94283,2024-01-28,2024-01-30,tablet,tier_3,social,7,208,5,1,2,1,0,5,0
V35577,2024-01-16,2024-01-23,tablet,tier_2,paid_ad,7,110,5,3,2,0,0,8,1
V92332,2024-06-20,2024-06-20,mobile,tier_2,social,8,93,1,3,0,2,1,0,0
V74850,2024-03-26,2024-03-27,desktop,tier_3,paid_ad,7,115,3,4,1,0,0,1,0
V83210,2024-03-06,2024-03-13,desktop,tier_1,referral,4,111,0,1,2,0,0,0,0
V27982,2024-06-22,2024-06-23,desktop,tier_1,social,5,112,3,2,0,1,0,8,0
V31592,2024-06-29,2024-06-29,mobile,tier_2,organic,20,591,3,0,1,0,0,2,0
V91210,2024-06-16,2024-06-16,desktop,tier_3,social,10,238,1,2,0,0,0,4,0
V92882,2024-02-15,2024-02-16,desktop,tier_1,paid_ad,13,275,1,0,0,0,0,6,0
V51019,2024-02-14,2024-02-20,mobile,tier_2,organic,7,226,7,1,5,0,0,1,0
V81181,2024-06-04,2024-06-06,mobile,tier_1,organic,16,516,5,2,0,0,1,3,1
V29436,2024-02-25,2024-02-26,desktop,tier_2,organic,12,162,3,1,0,1,1,8,0
V80611,2024-02-17,2024-02-21,mobile,tier_2,organic,6,118,6,3,0,3,1,4,1
V25295,2024-05-01,2024-05-11,mobile,tier_2,organic,7,178,1,0,1,2,1,4,0
V89762,2024-01-16,2024-01-20,desktop,tier_1,social,5,145,2,1,6,0,0,2,0
V19124,2024-03-04,2024-03-09,desktop,tier_2,social,10,148,8,0,2,1,0,2,0
V67155,2024-01-23,2024-01-26,desktop,tier_2,social,11,367,6,2,0,1,0,2,0
V53933,2024-03-08,2024-03-09,desktop,tier_1,organic,7,221,0,2,4,0,0,3,0
V74790,2024-06-15,2024-06-25,tablet,tier_2,organic,14,452,2,2,2,3,0,9,0
V61829,2024-03-07,2024-03-13,desktop,tier_3,organic,10,285,1,2,0,0,0,7,0
V48059,2024-01-20,2024-01-23,desktop,tier_2,organic,1,5,8,6,4,0,0,2,0
V26900,2024-04-06,2024-04-06,mobile,tier_2,social,6,90,0,5,1,0,1,4,1
V87050,2024-03-01,2024-03-05,tablet,tier_1,organic,8,216,1,3,0,0,0,4,0
V56511,2024-05-29,2024-06-05,mobile,tier_1,referral,3,85,4,0,10,0,1,2,0
V52443,2024-04-04,2024-04-04,tablet,tier_3,paid_ad,13,170,0,6,2,0,0,2,0
V26480,2024-05-03,2024-05-08,mobile,tier_1,referral,5,147,2,2,0,1,0,0,0
V92365,2024-01-13,2024-01-20,desktop,tier_1,social,17,219,6,5,3,0,1,8,1
V19596,2024-04-17,2024-04-17,desktop,tier_2,paid_ad,11,295,5,2,0,0,0,8,0
V75951,2024-03-09,2024-03-16,tablet,tier_3,paid_ad,13,432,3,6,3,2,1,3,1
V45391,2024-04-17,2024-04-18,tablet,tier_1,social,11,301,3,1,1,1,0,5,0
V47545,2024-05-10,2024-05-12,desktop,tier_3,paid_ad,9,306,0,5,1,0,0,3,0
V58253,2024-04-03,2024-04-03,desktop,tier_1,organic,12,176,8,0,4,3,1,2,1
V47044,2024-01-08,2024-01-09,desktop,tier_3,referral,6,80,9,1,0,0,1,3,0
V69060,2024-04-05,2024-05-05,desktop,tier_2,organic,12,332,2,3,5,2,0,3,0
V80336,2024-02-13,2024-02-23,desktop,tier_2,social,5,147,1,0,3,0,0,7,0
V30209,2024-06-20,2024-06-26,desktop,tier_2,organic,11,345,10,0,8,0,0,9,0
V88252,2024-02-19,2024-02-20,mobile,tier_1,social,11,292,3,0,1,3,1,3,1
