session_id,user_id,housing_type,charger_level,start_time,duration_hours,energy_kwh,peak_overlap_ratio,season,battery_soc_start
EV-10035,USR-1370,Single-Family,Level 2 (7.2kW),2025-09-28 11:13:00,7.99,28.04,0.38,Summer,36.0
EV-10036,USR-1322,Condo/Apartment,Level 1 (1.4kW),2025-03-27 19:51:00,23.94,30.49,0.1,Spring,30.4
EV-10037,USR-1027,Townhouse,Level 2 (7.2kW),2025-12-11 17:42:00,6.73,36.19,0.52,Winter,17.4
EV-10038,USR-1266,Single-Family,Level 2 (7.2kW),2025-08-16 10:14:00,7.71,28.87,0.23,Fall,34.1
EV-10039,USR-1321,Single-Family,Level 2 (7.2kW),2025-09-13 16:54:00,3.69,15.38,1.0,Summer,64.9
EV-10040,USR-1142,Single-Family,Level 2 (7.2kW),2025-09-19 19:27:00,2.22,12.49,0.78,Fall,71.5
EV-10041,USR-1229,Townhouse,Level 2 (7.2kW),2025-02-23 00:15:00,6.4,26.81,0.0,Fall,38.8
EV-10042,USR-1296,Townhouse,Level 2 (7.2kW),2025-02-17 10:02:00,2.92,17.39,0.0,Spring,60.3
EV-10043,USR-1315,Single-Family,Level 2 (7.2kW),2025-05-31 23:52:00,6.08,38.42,0.0,Summer,12.3
EV-10044,USR-1239,Townhouse,Level 2 (7.2kW),2025-08-03 22:01:00,8.25,25.85,0.0,Winter,41.0
EV-10045,USR-1381,Single-Family,Level 2 (7.2kW),2025-01-07 12:49:00,3.97,23.31,0.19,Winter,46.8
EV-10046,USR-1142,Condo/Apartment,Level 2 (7.2kW),2025-05-23 23:54:00,6.5,25.01,0.0,Summer,42.9
EV-10047,USR-1207,Single-Family,Level 2 (7.2kW),2025-04-13 15:34:00,5.95,18.88,0.83,Summer,56.9
EV-10048,USR-1334,Single-Family,Level 1 (1.4kW),2025-01-01 23:02:00,25.24,34.78,0.0,Fall,20.6
EV-10049,USR-1259,Single-Family,Level 2 (7.2kW),2025-04-02 21:59:00,5.14,34.08,0.0,Winter,22.2
EV-10050,USR-1328,Townhouse,Level 1 (1.4kW),2025-04-18 18:21:00,15.86,20.5,0.23,Fall,53.2
EV-10051,USR-1157,Condo/Apartment,Level 2 (7.2kW),2025-02-10 17:46:00,6.52,18.31,0.48,Summer,58.2
EV-10052,USR-1341,Condo/Apartment,Level 1 (1.4kW),2025-11-12 15:20:00,19.87,27.64,0.42,Summer,36.9
EV-10053,USR-1134,Single-Family,Level 2 (7.2kW),2025-07-17 18:11:00,4.66,19.36,0.63,Fall,55.8
EV-10054,USR-1054,Single-Family,Level 2 (7.2kW),2025-04-16 00:47:00,4.73,26.15,0.0,Summer,40.3
EV-10055,USR-1014,Townhouse,Level 1 (1.4kW),2025-07-09 18:02:00,27.58,38.07,0.25,Fall,13.1
EV-10056,USR-1334,Single-Family,Level 2 (7.2kW),2025-01-09 11:23:00,13.96,31.98,0.42,Summer,27.0
EV-10057,USR-1385,Single-Family,Level 2 (7.2kW),2025-11-17 22:30:00,1.98,12.49,0.0,Fall,71.5
EV-10058,USR-1238,Single-Family,Level 1 (1.4kW),2025-08-04 18:02:00,29.88,33.64,0.25,Fall,23.2
EV-10059,USR-1393,Single-Family,Level 2 (7.2kW),2025-04-09 07:59:00,4.66,24.58,0.0,Fall,43.9
EV-10060,USR-1256,Single-Family,Level 2 (7.2kW),2025-10-01 21:06:00,6.17,38.55,0.0,Spring,12.0
EV-10061,USR-1166,Townhouse,Level 2 (7.2kW),2025-06-20 19:59:00,4.44,22.04,0.28,Summer,49.7
EV-10062,USR-1251,Townhouse,Level 2 (7.2kW),2025-04-05 13:02:00,3.47,21.86,0.14,Spring,50.1
EV-10063,USR-1239,Single-Family,Level 2 (7.2kW),2025-08-06 14:27:00,5.04,26.02,0.67,Spring,40.6
EV-10064,USR-1126,Townhouse,Level 2 (7.2kW),2025-08-11 23:35:00,46.99,18.05,0.0,Winter,58.8
EV-10065,USR-1032,Single-Family,Level 2 (7.2kW),2025-03-20 11:56:00,5.15,32.15,0.19,Summer,26.6
EV-10066,USR-1275,Condo/Apartment,Level 2 (7.2kW),2025-06-09 23:19:00,5.47,25.23,0.0,Summer,42.4
EV-10067,USR-1188,Condo/Apartment,Level 2 (7.2kW),2025-06-07 17:03:00,5.39,27.51,0.73,Spring,37.2
EV-10068,USR-1001,Condo/Apartment,Level 1 (1.4kW),2025-08-16 21:54:00,29.97,38.16,0.0,Fall,12.9
EV-10069,USR-1225,Single-Family,Level 2 (7.2kW),2025-01-16 09:27:00,12.97,20.41,0.42,Spring,53.4
EV-10070,USR-1229,Townhouse,Level 2 (7.2kW),2025-03-27 18:49:00,2.37,13.89,0.9,Fall,68.3
EV-10071,USR-1049,Condo/Apartment,Level 2 (7.2kW),2025-02-22 22:30:00,5.66,34.39,0.0,Fall,21.5
EV-10072,USR-1351,Single-Family,Level 2 (7.2kW),2025-07-06 23:08:00,7.93,20.33,0.0,Summer,53.6
EV-10073,USR-1161,Single-Family,Level 2 (7.2kW),2025-09-06 06:58:00,2.55,11.83,0.0,Summer,73.0
EV-10074,USR-1160,Townhouse,Level 2 (7.2kW),2025-11-04 00:40:00,7.06,38.38,0.0,Summer,12.4
EV-10075,USR-1181,Condo/Apartment,Level 2 (7.2kW),2025-03-25 16:54:00,11.28,32.11,0.37,Spring,26.7
EV-10076,USR-1201,Single-Family,Level 1 (1.4kW),2025-10-07 18:05:00,23.15,21.03,0.25,Winter,52.0
EV-10077,USR-1134,Single-Family,Level 1 (1.4kW),2025-11-08 17:19:00,27.56,35.75,0.31,Winter,18.4
EV-10078,USR-1160,Single-Family,Level 2 (7.2kW),2025-06-27 00:19:00,6.03,34.13,0.0,Winter,22.1
EV-10079,USR-1288,Single-Family,Level 2 (7.2kW),2025-12-16 17:56:00,2.09,11.92,1.0,Summer,72.8
EV-10080,USR-1181,Single-Family,Level 2 (7.2kW),2025-12-26 19:59:00,3.96,21.2,0.31,Winter,51.6
EV-10081,USR-1388,Single-Family,Level 2 (7.2kW),2025-09-18 13:09:00,7.29,33.6,0.6,Spring,23.3
EV-10082,USR-1321,Condo/Apartment,Level 2 (7.2kW),2025-11-15 18:17:00,11.59,30.97,0.23,Fall,29.3
EV-10083,USR-1007,Single-Family,Level 2 (7.2kW),2025-02-05 19:51:00,3.75,24.44,0.33,Spring,44.2
EV-10084,USR-1282,Single-Family,Level 2 (7.2kW),2025-02-22 13:32:00,7.61,27.2,0.65,Winter,37.9
EV-10085,USR-1299,Condo/Apartment,Level 1 (1.4kW),2025-11-07 18:59:00,26.47,36.4,0.19,Summer,16.9
EV-10086,USR-1254,Townhouse,Level 1 (1.4kW),2025-07-28 16:04:00,17.5,22.25,0.42,Spring,49.2
EV-10087,USR-1155,Condo/Apartment,Level 2 (7.2kW),2025-11-14 15:51:00,4.77,18.57,0.95,Winter,57.6
EV-10088,USR-1225,Single-Family,Level 2 (7.2kW),2025-06-10 17:19:00,19.59,26.46,0.31,Fall,39.6
EV-10089,USR-1309,Single-Family,Level 2 (7.2kW),2025-03-22 10:25:00,4.58,27.2,0.0,Spring,37.9
EV-10090,USR-1353,Single-Family,Level 2 (7.2kW),2025-06-01 21:30:00,6.27,32.46,0.0,Winter,25.9
EV-10091,USR-1376,Single-Family,Level 2 (7.2kW),2025-10-15 21:46:00,4.76,21.42,0.0,Winter,51.1
EV-10092,USR-1343,Condo/Apartment,Level 2 (7.2kW),2025-01-09 20:06:00,13.89,38.94,0.08,Fall,11.1
EV-10093,USR-1197,Townhouse,Level 2 (7.2kW),2025-01-06 19:35:00,5.01,25.1,0.3,Winter,42.7
EV-10094,USR-1303,Condo/Apartment,Level 2 (7.2kW),2025-10-19 21:29:00,2.68,11.52,0.0,Winter,73.7
EV-10095,USR-1149,Single-Family,Level 2 (7.2kW),2025-06-12 16:29:00,6.98,26.99,0.68,Spring,38.4
EV-10096,USR-1250,Townhouse,Level 2 (7.2kW),2025-02-27 15:01:00,5.14,29.35,0.81,Winter,33.0
EV-10097,USR-1203,Single-Family,Level 2 (7.2kW),2025-03-02 23:38:00,6.42,32.42,0.0,Winter,26.0
EV-10098,USR-1317,Condo/Apartment,Level 2 (7.2kW),2025-12-03 17:55:00,3.28,22.34,0.93,Fall,49.0
EV-10099,USR-1061,Condo/Apartment,Level 1 (1.4kW),2025-01-10 17:25:00,32.07,37.81,0.31,Winter,13.7
EV-10100,USR-1326,Townhouse,Level 2 (7.2kW),2025-03-03 18:14:00,3.56,21.03,0.8,Spring,52.0
EV-10101,USR-1272,Single-Family,Level 2 (7.2kW),2025-01-22 22:07:00,3.3,21.03,0.0,Fall,52.0
EV-10102,USR-1372,Townhouse,Level 2 (7.2kW),2025-04-01 18:10:00,11.94,29.48,0.25,Winter,32.7
EV-10103,USR-1389,Condo/Apartment,Level 2 (7.2kW),2025-03-08 22:06:00,5.33,25.15,0.0,Summer,42.6
EV-10104,USR-1256,Single-Family,Level 1 (1.4kW),2025-12-01 22:23:00,22.58,29.79,0.0,Spring,32.0
EV-10105,USR-1219,Condo/Apartment,Level 1 (1.4kW),2025-10-07 21:37:00,16.02,21.03,0.0,Fall,52.0
EV-10106,USR-1183,Condo/Apartment,Level 1 (1.4kW),2025-04-29 08:15:00,17.03,16.65,0.35,Winter,62.0
EV-10107,USR-1008,Townhouse,Level 2 (7.2kW),2025-10-17 11:06:00,2.56,16.65,0.0,Spring,62.0
EV-10108,USR-1396,Townhouse,Level 2 (7.2kW),2025-05-18 14:44:00,10.66,30.45,0.47,Spring,30.5
EV-10109,USR-1298,Condo/Apartment,Level 2 (7.2kW),2025-06-03 00:18:00,6.12,13.89,0.0,Fall,68.3
EV-10110,USR-1394,Condo/Apartment,Level 2 (7.2kW),2025-12-11 23:50:00,3.02,18.75,0.0,Winter,57.2
EV-10111,USR-1033,Condo/Apartment,Level 2 (7.2kW),2025-11-23 10:09:00,5.64,24.71,0.0,Winter,43.6
EV-10112,USR-1232,Single-Family,Level 2 (7.2kW),2025-07-24 14:48:00,4.27,12.75,0.72,Winter,70.9
EV-10113,USR-1117,Townhouse,Level 2 (7.2kW),2025-01-22 19:32:00,3.26,19.23,0.46,Winter,56.1
EV-10114,USR-1079,Condo/Apartment,Level 2 (7.2kW),2025-03-05 18:51:00,5.45,35.83,0.41,Winter,18.2
EV-10115,USR-1202,Condo/Apartment,Level 2 (7.2kW),2025-05-09 04:23:00,8.46,37.06,0.0,Winter,15.4
EV-10116,USR-1258,Condo/Apartment,Level 2 (7.2kW),2025-12-03 23:06:00,6.16,20.06,0.0,Spring,54.2
EV-10117,USR-1231,Single-Family,Level 2 (7.2kW),2025-10-22 21:07:00,9.6,24.88,0.0,Spring,43.2
EV-10118,USR-1206,Condo/Apartment,Level 2 (7.2kW),2025-03-05 12:57:00,2.35,16.82,0.0,Fall,61.6
EV-10119,USR-1359,Single-Family,Level 1 (1.4kW),2025-10-25 23:48:00,13.78,18.0,0.0,Spring,58.9
EV-10120,USR-1133,Condo/Apartment,Level 2 (7.2kW),2025-09-04 23:34:00,5.75,37.28,0.0,Winter,14.9
EV-10121,USR-1273,Townhouse,Level 1 (1.4kW),2025-04-18 22:02:00,19.42,25.5,0.0,Spring,41.8
EV-10122,USR-1369,Townhouse,Level 2 (7.2kW),2025-08-17 17:59:00,6.78,27.77,0.46,Spring,36.6
EV-10123,USR-1168,Condo/Apartment,Level 2 (7.2kW),2025-06-18 20:31:00,7.38,21.6,0.07,Winter,50.7
EV-10124,USR-1208,Single-Family,Level 2 (7.2kW),2025-07-16 12:33:00,12.83,36.32,0.42,Spring,17.1
EV-10125,USR-1084,Townhouse,Level 2 (7.2kW),2025-03-08 17:20:00,3.89,20.41,0.94,Winter,53.4
EV-10126,USR-1200,Condo/Apartment,Level 2 (7.2kW),2025-03-16 12:38:00,7.46,28.39,0.53,Winter,35.2
EV-10127,USR-1207,Single-Family,Level 2 (7.2kW),2025-06-10 23:22:00,4.61,14.19,0.0,Winter,67.6
EV-10128,USR-1329,Single-Family,Level 2 (7.2kW),2025-07-02 23:11:00,5.51,33.47,0.0,Fall,23.6
EV-10129,USR-1017,Condo/Apartment,Level 2 (7.2kW),2025-06-29 17:19:00,6.77,33.95,0.54,Fall,22.5
EV-10130,USR-1300,Single-Family,Level 2 (7.2kW),2025-12-06 16:11:00,3.43,19.84,1.0,Winter,54.7
EV-10131,USR-1000,Townhouse,Level 2 (7.2kW),2025-02-05 00:13:00,5.69,18.66,0.0,Fall,57.4
EV-10132,USR-1063,Single-Family,Level 2 (7.2kW),2025-12-13 00:55:00,4.57,21.47,0.0,Winter,51.0
EV-10133,USR-1314,Townhouse,Level 2 (7.2kW),2025-03-03 11:43:00,7.56,13.1,0.42,Fall,70.1
EV-10134,USR-1387,Single-Family,Level 2 (7.2kW),2025-01-23 18:37:00,1.88,12.22,1.0,Winter,72.1
EV-10135,USR-1005,Single-Family,Level 1 (1.4kW),2025-08-25 18:00:00,13.83,14.68,0.25,Fall,66.5
EV-10136,USR-1102,Condo/Apartment,Level 1 (1.4kW),2025-03-29 17:50:00,11.64,12.97,0.28,Summer,70.4
EV-10137,USR-1329,Single-Family,Level 2 (7.2kW),2025-12-28 23:23:00,6.95,12.53,0.0,Summer,71.4
EV-10138,USR-1187,Single-Family,Level 2 (7.2kW),2025-11-28 17:03:00,13.47,36.71,0.33,Fall,16.2
EV-10139,USR-1035,Condo/Apartment,Level 2 (7.2kW),2025-04-16 22:35:00,7.29,33.69,0.0,Fall,23.1
EV-10140,USR-1062,Single-Family,Level 1 (1.4kW),2025-02-18 19:59:00,24.32,29.09,0.1,Fall,33.6
EV-10141,USR-1348,Single-Family,Level 2 (7.2kW),2025-02-23 21:51:00,7.77,32.94,0.0,Winter,24.8
EV-10142,USR-1088,Condo/Apartment,Level 1 (1.4kW),2025-04-24 18:46:00,57.92,19.76,0.19,Spring,54.9
EV-10143,USR-1199,Condo/Apartment,Level 1 (1.4kW),2025-03-17 21:27:00,21.27,26.02,0.0,Fall,40.6
EV-10144,USR-1324,Townhouse,Level 2 (7.2kW),2025-02-08 16:45:00,7.43,29.31,0.57,Spring,33.1
EV-10145,USR-1019,Condo/Apartment,Level 1 (1.4kW),2025-08-26 10:42:00,67.65,25.06,0.42,Fall,42.8
EV-10146,USR-1162,Condo/Apartment,Level 2 (7.2kW),2025-07-07 17:12:00,3.51,17.17,1.0,Summer,60.8
EV-10147,USR-1165,Single-Family,Level 2 (7.2kW),2025-08-08 17:38:00,4.54,29.26,0.74,Winter,33.2
EV-10148,USR-1397,Condo/Apartment,Level 2 (7.2kW),2025-12-09 18:11:00,5.42,27.25,0.55,Summer,37.8
EV-10149,USR-1152,Single-Family,Level 2 (7.2kW),2025-04-20 20:11:00,4.45,22.04,0.22,Summer,49.7
EV-10150,USR-1143,Single-Family,Level 2 (7.2kW),2025-01-29 15:12:00,8.23,14.81,0.61,Fall,66.2
EV-10151,USR-1381,Single-Family,Level 1 (1.4kW),2025-08-31 20:24:00,17.38,23.66,0.06,Spring,46.0
EV-10152,USR-1310,Condo/Apartment,Level 1 (1.4kW),2025-06-13 13:07:00,17.66,19.14,0.42,Fall,56.3
EV-10153,USR-1211,Condo/Apartment,Level 2 (7.2kW),2025-11-02 16:10:00,11.9,39.25,0.42,Summer,10.4
EV-10154,USR-1174,Single-Family,Level 2 (7.2kW),2025-06-05 11:15:00,8.45,11.43,0.44,Winter,73.9
EV-10155,USR-1287,Townhouse,Level 1 (1.4kW),2025-12-21 00:40:00,17.88,18.09,0.0,Summer,58.7
EV-10156,USR-1362,Single-Family,Level 1 (1.4kW),2025-12-14 20:34:00,18.24,24.71,0.04,Winter,43.6
EV-10157,USR-1289,Condo/Apartment,Level 2 (7.2kW),2025-06-17 16:14:00,7.19,17.35,0.69,Summer,60.4
EV-10158,USR-1123,Single-Family,Level 2 (7.2kW),2025-09-11 10:54:00,3.6,23.74,0.0,Summer,45.8
EV-10159,USR-1313,Condo/Apartment,Level 2 (7.2kW),2025-11-29 19:49:00,10.06,35.35,0.12,Fall,19.3
EV-10160,USR-1151,Condo/Apartment,Level 2 (7.2kW),2025-12-22 12:23:00,4.16,21.42,0.12,Fall,51.1
EV-10161,USR-1343,Condo/Apartment,Level 2 (7.2kW),2025-01-04 18:07:00,5.0,30.8,0.6,Spring,29.7
EV-10162,USR-1297,Townhouse,Level 2 (7.2kW),2025-12-19 17:41:00,15.35,28.83,0.29,Spring,34.2
EV-10163,USR-1133,Townhouse,Level 2 (7.2kW),2025-04-14 18:05:00,4.1,28.83,0.71,Fall,34.2
EV-10164,USR-1375,Single-Family,Level 2 (7.2kW),2025-10-10 21:16:00,4.97,26.15,0.0,Fall,40.3
EV-10165,USR-1243,Townhouse,Level 2 (7.2kW),2025-06-09 17:53:00,7.6,33.25,0.42,Spring,24.1
EV-10166,USR-1392,Condo/Apartment,Level 2 (7.2kW),2025-12-30 17:36:00,9.54,32.24,0.36,Winter,26.4
EV-10167,USR-1348,Single-Family,Level 2 (7.2kW),2025-04-04 23:11:00,6.57,23.96,0.0,Spring,45.3
EV-10168,USR-1147,Townhouse,Level 2 (7.2kW),2025-03-07 00:39:00,14.6,26.11,0.0,Fall,40.4
EV-10169,USR-1103,Single-Family,Level 2 (7.2kW),2025-09-27 19:53:00,5.17,19.19,0.24,Spring,56.2
EV-10170,USR-1383,Townhouse,Level 1 (1.4kW),2025-03-06 12:43:00,26.35,34.52,0.42,Fall,21.2
EV-10171,USR-1015,Single-Family,Level 1 (1.4kW),2025-06-02 00:26:00,20.92,19.8,0.0,Winter,54.8
EV-10172,USR-1369,Townhouse,Level 2 (7.2kW),2025-12-31 18:17:00,5.57,39.43,0.48,Winter,10.0
EV-10173,USR-1078,Single-Family,Level 2 (7.2kW),2025-10-12 15:15:00,2.86,15.33,0.75,Fall,65.0
EV-10174,USR-1032,Single-Family,Level 2 (7.2kW),2025-10-24 17:48:00,7.28,19.32,0.43,Winter,55.9
EV-10175,USR-1198,Townhouse,Level 2 (7.2kW),2025-07-21 13:32:00,4.3,15.07,0.44,Winter,65.6
EV-10176,USR-1020,Townhouse,Level 2 (7.2kW),2025-03-16 19:26:00,7.33,26.68,0.23,Fall,39.1
EV-10177,USR-1346,Townhouse,Level 2 (7.2kW),2025-09-13 17:31:00,5.05,13.14,0.67,Summer,70.0
EV-10178,USR-1178,Townhouse,Level 2 (7.2kW),2025-02-02 22:26:00,8.76,13.32,0.0,Fall,69.6
EV-10179,USR-1113,Townhouse,Level 2 (7.2kW),2025-08-13 00:52:00,2.64,14.5,0.0,Winter,66.9
EV-10180,USR-1122,Townhouse,Level 2 (7.2kW),2025-10-16 00:54:00,8.38,18.71,0.0,Fall,57.3
EV-10181,USR-1210,Condo/Apartment,Level 2 (7.2kW),2025-04-06 21:23:00,43.32,25.63,0.0,Summer,41.5
EV-10182,USR-1391,Condo/Apartment,Level 2 (7.2kW),2025-07-09 17:56:00,4.49,31.37,0.72,Winter,28.4
EV-10183,USR-1030,Condo/Apartment,Level 1 (1.4kW),2025-07-31 15:02:00,14.83,16.78,0.42,Spring,61.7
EV-10184,USR-1084,Condo/Apartment,Level 2 (7.2kW),2025-08-15 17:08:00,7.95,21.16,0.5,Winter,51.7
EV-10185,USR-1396,Townhouse,Level 2 (7.2kW),2025-04-16 18:39:00,5.25,36.97,0.48,Summer,15.6
EV-10186,USR-1002,Single-Family,Level 2 (7.2kW),2025-08-30 19:09:00,4.34,18.18,0.44,Fall,58.5
EV-10187,USR-1036,Townhouse,Level 2 (7.2kW),2025-10-27 11:04:00,9.07,29.0,0.46,Fall,33.8
EV-10188,USR-1362,Condo/Apartment,Level 2 (7.2kW),2025-04-07 10:26:00,29.82,36.84,0.42,Winter,15.9
EV-10189,USR-1182,Single-Family,Level 2 (7.2kW),2025-09-12 12:48:00,6.07,16.43,0.48,Summer,62.5
EV-10190,USR-1315,Condo/Apartment,Level 2 (7.2kW),2025-06-26 23:50:00,4.89,31.15,0.0,Summer,28.9
EV-10191,USR-1226,Single-Family,Level 2 (7.2kW),2025-08-09 16:49:00,3.82,17.92,1.0,Fall,59.1
EV-10192,USR-1258,Townhouse,Level 2 (7.2kW),2025-08-23 21:46:00,4.48,21.12,0.0,Summer,51.8
EV-10193,USR-1234,Single-Family,Level 1 (1.4kW),2025-02-10 17:55:00,19.84,20.98,0.27,Winter,52.1
EV-10194,USR-1103,Single-Family,Level 2 (7.2kW),2025-09-20 18:36:00,5.87,37.54,0.42,Fall,14.3
EV-10195,USR-1023,Single-Family,Level 2 (7.2kW),2025-06-20 00:25:00,6.48,37.67,0.0,Winter,14.0
EV-10196,USR-1241,Condo/Apartment,Level 2 (7.2kW),2025-11-10 17:54:00,4.38,24.4,0.72,Winter,44.3
EV-10197,USR-1075,Single-Family,Level 1 (1.4kW),2025-08-18 12:35:00,15.23,16.52,0.42,Winter,62.3
EV-10198,USR-1151,Single-Family,Level 2 (7.2kW),2025-05-03 20:36:00,7.87,13.71,0.06,Spring,68.7
EV-10199,USR-1107,Single-Family,Level 2 (7.2kW),2025-11-10 16:50:00,6.9,19.71,0.61,Winter,55.0
EV-10200,USR-1355,Townhouse,Level 2 (7.2kW),2025-12-30 19:36:00,5.67,22.04,0.26,Fall,49.7
EV-10201,USR-1260,Townhouse,Level 1 (1.4kW),2025-09-11 10:41:00,20.46,18.66,0.42,Fall,57.4
EV-10202,USR-1330,Single-Family,Level 2 (7.2kW),2025-08-24 22:32:00,5.83,14.94,0.0,Winter,65.9
EV-10203,USR-1316,Single-Family,Level 2 (7.2kW),2025-04-08 18:38:00,9.67,26.42,0.26,Fall,39.7
EV-10204,USR-1083,Condo/Apartment,Level 2 (7.2kW),2025-08-24 04:38:00,10.7,36.97,0.0,Fall,15.6
EV-10205,USR-1324,Townhouse,Level 2 (7.2kW),2025-06-09 17:50:00,4.46,25.36,0.72,Winter,42.1
EV-10206,USR-1207,Townhouse,Level 2 (7.2kW),2025-08-07 20:03:00,4.4,19.41,0.22,Spring,55.7
EV-10207,USR-1381,Single-Family,Level 1 (1.4kW),2025-12-27 23:03:00,26.32,34.52,0.0,Spring,21.2
EV-10208,USR-1003,Single-Family,Level 2 (7.2kW),2025-11-07 19:26:00,4.46,15.33,0.39,Winter,65.0
EV-10209,USR-1005,Condo/Apartment,Level 2 (7.2kW),2025-01-12 16:40:00,7.24,31.63,0.62,Fall,27.8
EV-10210,USR-1357,Condo/Apartment,Level 2 (7.2kW),2025-06-12 23:26:00,5.09,12.31,0.0,Fall,71.9
EV-10211,USR-1001,Condo/Apartment,Level 2 (7.2kW),2025-10-23 20:31:00,6.16,18.22,0.08,Summer,58.4
EV-10212,USR-1090,Single-Family,Level 2 (7.2kW),2025-03-21 19:24:00,2.24,11.65,0.78,Summer,73.4
EV-10213,USR-1218,Single-Family,Level 2 (7.2kW),2025-06-19 20:47:00,2.83,18.53,0.08,Summer,57.7
EV-10214,USR-1368,Townhouse,Level 1 (1.4kW),2025-02-22 22:51:00,25.81,26.02,0.0,Fall,40.6
EV-10215,USR-1021,Condo/Apartment,Level 2 (7.2kW),2025-08-15 13:09:00,2.64,17.35,0.0,Spring,60.4
EV-10216,USR-1192,Condo/Apartment,Level 2 (7.2kW),2025-01-05 18:16:00,5.51,21.51,0.5,Fall,50.9
