video_id,title,category,channel_tier,upload_day,upload_hour,duration_seconds,views,likes,comments,shares,watch_time_minutes,avg_view_duration_seconds,click_through_rate,channel_age_years,subscribers,tags_count,hashtags
vid_0075,The honest truth about Gemini,Comedy,Small,Friday,22,1057,11689,537,213,13,83965,431,0.0713,2.1,19569,19.0,"[""ai"", ""tech"", ""review"", ""explained""]"
vid_0076,YOU WON'T BELIEVE what AI search just did,Comedy,Small,Saturday,3,1821,1887,100,6,12,21763,692,0.0705,9.4,6723,,"[""shorts"", ""review"", ""comedy""]"
vid_0077,I tested AI image tools for 30 days — here's what happened,Music,Mid,Saturday,5,3697,245194,14327,1967,1114,11246231,2752,0.0541,6.0,274279,16.0,"[""explained"", ""trending"", ""tech"", ""review""]"
vid_0078,Midjourney explained in 10 minutes,Education,Mid,Thursday,12,2126,219329,3298,5162,2889,3629894,993,0.0599,1.3,352351,,"[""llm""]"
vid_0079,A beginner's guide to neural networks,Comedy,Mid,Friday,18,1001,137425,2716,2578,357,762708,333,0.0254,1.6,132869,11.0,"[""shorts"", ""review"", ""tutorial"", ""explained"", ""comedy""]"
vid_0080,The honest truth about prompt engineering,News,Mid,Sunday,4,5451,20616,992,259,297,630506,1835,0.01,11.0,513398,10.0,"[""news"", ""tech"", ""tutorial""]"
vid_0081,WARNING: data science careers is NOT what you think,Vlog,Small,Saturday,21,7489,6308,216,40,49,241596,2298,0.0588,1.0,6818,12.0,"[""review"", ""shorts"", ""vlog""]"
vid_0082,AI video generation explained in 10 minutes,Vlog,Large,Saturday,19,2821,7038551,455256,62110,23595,176081084,1501,0.0631,1.8,7473893,17.0,"[""explained"", ""tech""]"
vid_0083,AI video generation explained in 10 minutes,Comedy,Small,Sunday,18,4342,1516,61,18,8,41260,1633,0.0852,1.6,8468,7.0,"[""explained"", ""viral"", ""tutorial"", ""shorts"", ""ai""]"
vid_0084,This AI image tools SECRET will CHANGE EVERYTHING,Comedy,Small,Saturday,7,5529,7572,121,92,36,303637,2406,0.0943,0.2,34525,10.0,"[""shorts"", ""tech"", ""comedy"", ""review"", ""explained""]"
vid_0085,YOU WON'T BELIEVE what Cursor AI just did,News,Small,Tuesday,10,4999,3112,80,35,9,106897,2061,0.0942,3.1,36592,13.0,"[""trending"", ""news"", ""tech""]"
vid_0086,Getting started with Cursor AI,Education,Mid,Friday,6,3142,228411,1142,2698,1913,6071925,1595,0.03,1.9,589376,15.0,"[""explained"", ""ai"", ""python"", ""tech"", ""tutorial""]"
vid_0087,This is the BEST neural networks tutorial you will EVER watch,News,Mid,Tuesday,21,3098,97892,4061,1048,302,1608691,986,0.0462,0.5,497053,15.0,"[""tutorial""]"
vid_0088,A beginner's guide to AI video generation,Comedy,Small,Saturday,18,2886,19340,815,64,19,270437,839,0.067,0.2,32281,6.0,"[""comedy"", ""tutorial"", ""ai"", ""shorts"", ""tech""]"
vid_0089,Is Python for AI worth it in 2025?,Gaming,Mid,Sunday,20,673,330126,12753,2938,2139,1650630,300,0.1183,1.9,414091,19.0,"[""tech"", ""gaming"", ""review"", ""ai""]"
vid_0090,I built a local LLMs project — here's what I learned,Gaming,Small,Friday,12,3397,34758,2126,607,34,968010,1671,0.092,6.0,32264,0.0,"[""tech"", ""gaming"", ""tutorial"", ""trending"", ""ai""]"
vid_0091,Understanding data science careers from scratch,News,Mid,Thursday,13,533,102016,6424,386,509,416565,245,0.083,5.4,149967,9.0,"[""ai"", ""trending"", ""llm""]"
vid_0092,Exploring AI agents: a deep dive,Gaming,Small,Monday,14,884,10807,458,117,47,51333,285,0.0453,1.0,23762,12.0,"[""viral"", ""explained"", ""trending""]"
vid_0093,What nobody tells you about Sora,Education,Small,Sunday,20,5844,4267,55,30,19,208300,2929,0.0329,1.3,22997,1.0,"[""python"", ""tutorial"", ""review""]"
vid_0094,How open-source AI actually works,Education,Small,Tuesday,20,3851,29027,1574,367,464,615856,1273,0.0747,2.3,35015,9.0,"[""review""]"
vid_0095,WARNING: Midjourney is NOT what you think,Gaming,Mid,Monday,8,6895,65306,3482,631,537,2681899,2464,0.0275,0.3,320655,11.0,"[""explained"", ""viral"", ""trending"", ""tech""]"
vid_0096,Getting started with Stable Diffusion,Education,Small,Wednesday,22,1415,7151,354,149,64,51725,434,0.049,3.6,18478,,"[""explained"", ""tutorial"", ""ai""]"
vid_0097,How AI regulation actually works,News,Small,Monday,5,640,7858,469,118,7,48195,368,0.0521,1.0,27384,2.0,"[""llm"", ""chatgpt"", ""trending"", ""review"", ""news""]"
vid_0098,My thoughts on AI search after 6 months,Gaming,Small,Thursday,22,1456,3207,88,13,17,38590,722,0.0948,7.5,14326,5.0,"[""viral""]"
vid_0099,I tested AI video generation for 30 days — here's what happened,News,Large,Friday,4,1981,1801250,135330,28869,15961,29270312,975,0.0461,3.7,1978378,4.0,"[""news"", ""review""]"
vid_0100,The TRUTH about Claude they DON'T want you to know,Vlog,Large,Wednesday,11,1941,3252546,99555,23913,12691,59901055,1105,0.01,1.3,4345140,12.0,"[""viral"", ""explained"", ""tutorial""]"
vid_0101,AI search is DEAD and here's WHY,Education,Mid,Monday,21,5015,212365,11943,1813,2470,13442704,3798,0.0676,5.8,296782,,"[""python""]"
vid_0102,The ONLY Midjourney guide you'll EVER need,Gaming,Small,Tuesday,7,1306,2244,44,31,7,10472,280,0.0375,8.0,13139,11.0,"[""gaming"", ""tutorial"", ""trending"", ""viral"", ""tech""]"
vid_0103,URGENT: AI agents is about to CHANGE FOREVER,Music,Large,Thursday,14,2482,1358549,42177,12294,9312,18612121,822,0.0561,2.7,3572582,14.0,"[""viral"", ""shorts"", ""tech"", ""music""]"
vid_0104,Why prompt engineering DESTROYED my workflow (and how I fixed it),Gaming,Mid,Monday,15,742,217264,14718,3771,1228,926993,256,0.0528,1.1,270524,15.0,"[""review"", ""gaming""]"
vid_0105,LEAKED: the real story behind Claude,Education,Mid,Saturday,10,2711,33389,1371,245,289,479132,861,0.0482,11.6,250297,3.0,"[""tutorial"", ""chatgpt"", ""deeplearning""]"
vid_0106,What nobody tells you about Gemini,Vlog,Small,Tuesday,20,1813,4740,273,39,25,41633,527,0.0748,7.1,18281,18.0,"[""ai"", ""review""]"
vid_0107,Why AI image tools DESTROYED my workflow (and how I fixed it),Vlog,Small,Wednesday,21,920,22581,1096,182,156,132851,353,0.0167,8.5,29001,3.0,"[""tutorial"", ""tech"", ""howto"", ""review""]"
vid_0108,The honest truth about GPT-4,News,Small,Thursday,21,1462,13901,603,119,98,92673,400,0.0421,3.9,15390,0.0,"[""news""]"
vid_0109,The honest truth about AI image tools,Education,Large,Thursday,13,1531,2085570,136516,38781,10558,24470688,704,0.0721,3.7,7642005,0.0,"[""chatgpt""]"
vid_0110,YOU WON'T BELIEVE what Midjourney just did,Music,Mid,Monday,18,1417,743642,30824,11729,7392,7473602,603,0.0396,4.2,556500,4.0,"[""explained"", ""ai"", ""music""]"
vid_0111,The TRUTH about machine learning pipelines they DON'T want you to know,News,Small,Tuesday,10,8903,11638,212,259,104,824940,4253,0.0148,0.6,21831,17.0,"[""tech"", ""chatgpt"", ""explained""]"
vid_0112,What nobody tells you about Midjourney,Education,Small,Sunday,10,1654,16926,557,433,129,224269,795,0.0717,3.3,16492,4.0,"[""machinelearning"", ""review"", ""llm""]"
vid_0113,local LLMs is DEAD and here's WHY,Music,Mid,Monday,6,1451,1049519,55905,6103,6589,12489276,714,0.0831,0.7,358426,13.0,"[""music"", ""shorts""]"
vid_0114,WARNING: vector databases is NOT what you think,Gaming,Small,Friday,22,273,9439,480,117,105,16046,102,0.0539,1.0,34699,8.0,"[""trending"", ""gaming"", ""ai"", ""tutorial""]"
vid_0115,STOP using AI video generation WRONG (most people do this),Education,Large,Friday,22,808,1109191,23841,5482,7827,10075151,545,0.01,1.4,5568111,0.0,"[""deeplearning"", ""machinelearning"", ""tech"", ""ai""]"
vid_0116,URGENT: vector databases is about to CHANGE FOREVER,Comedy,Mid,Thursday,20,1426,236559,8074,1735,1602,2519353,639,0.0726,5.1,498283,8.0,"[""ai"", ""tech"", ""review""]"
vid_0117,local LLMs explained in 10 minutes,Gaming,Mid,Thursday,18,975,238687,8658,1961,2009,759820,191,0.0135,2.5,357015,0.0,"[""explained""]"
vid_0118,I tested AI coding tools for 30 days — here's what happened,Gaming,Small,Saturday,17,6270,6561,259,37,97,205468,1879,0.0627,2.5,27152,9.0,"[""viral"", ""review"", ""tutorial"", ""ai"", ""explained""]"
vid_0119,STOP using Llama 3 WRONG (most people do this),News,Mid,Sunday,18,1558,91944,2239,523,242,502627,328,0.0328,3.8,229840,11.0,"[""tech"", ""review"", ""tutorial"", ""llm""]"
vid_0120,YOU WON'T BELIEVE what prompt engineering just did,Vlog,Mid,Wednesday,18,5765,1066182,37928,11871,11812,43233680,2433,0.026,2.5,462144,10.0,"[""shorts"", ""explained"", ""tech""]"
vid_0121,The future of open-source AI,Comedy,Mid,Wednesday,15,1911,155861,5310,732,155,2010606,774,0.044,4.4,185250,,"[""tutorial""]"
vid_0122,The complete guide to Python for AI,News,Small,Wednesday,5,1869,4453,251,75,39,50393,679,0.0504,0.3,29317,15.0,"[""chatgpt"", ""trending"", ""tutorial"", ""news""]"
vid_0123,The TRUTH about Claude they DON'T want you to know,Vlog,Small,Friday,5,1669,16646,951,108,238,306008,1103,0.0389,1.8,35125,,"[""howto"", ""tech""]"
vid_0124,LEAKED: the real story behind RAG systems,Gaming,Small,Saturday,22,1814,12829,549,370,127,188372,881,0.0697,2.6,9623,5.0,"[""trending"", ""viral""]"
vid_0125,I tried EVERY GitHub Copilot tool — the WINNER shocked me,Comedy,Mid,Wednesday,16,8492,98021,3834,910,851,7034640,4306,0.0438,0.4,399477,,"[""shorts"", ""tutorial"", ""ai"", ""explained""]"
vid_0126,WARNING: AI search is NOT what you think,Education,Small,Thursday,22,224,17561,827,218,101,20195,69,0.0795,2.2,8328,2.0,"[""datascience"", ""tech"", ""machinelearning"", ""chatgpt""]"
vid_0127,My thoughts on data science careers after 6 months,Gaming,Small,Sunday,7,298,3557,116,15,28,5276,89,0.062,2.2,30400,18.0,"[""review"", ""gaming"", ""explained"", ""ai""]"
vid_0128,Getting started with Llama 3,News,Small,Monday,18,1108,14850,412,330,103,116325,470,0.0376,4.3,7957,15.0,"[""tech"", ""ai"", ""trending""]"
vid_0129,How local LLMs actually works,Comedy,Mid,Friday,8,1831,554382,17128,10376,2692,7456437,807,0.0334,1.4,566688,5.0,"[""tutorial"", ""explained"", ""shorts"", ""ai""]"
vid_0130,STOP using fine-tuning LLMs WRONG (most people do this),Comedy,Small,Saturday,10,3364,14520,515,200,99,160446,663,0.0138,3.8,9809,13.0,"[""comedy""]"
vid_0131,I tested deep learning frameworks for 30 days — here's what happened,Gaming,Large,Tuesday,1,2767,1110150,30582,4350,9762,20389755,1102,0.0623,4.8,7712161,13.0,"[""ai""]"
vid_0132,The ONLY RAG systems guide you'll EVER need,Gaming,Mid,Monday,5,1279,79982,3793,1060,394,718504,539,0.0461,4.1,496459,12.0,"[""viral"", ""trending"", ""review"", ""explained""]"
vid_0133,The honest truth about GitHub Copilot,Vlog,Small,Tuesday,22,4523,8065,451,42,38,239530,1782,0.01,1.1,25778,1.0,"[""explained"", ""howto"", ""review"", ""tutorial"", ""vlog""]"
vid_0134,I tried EVERY Python for AI tool — the WINNER shocked me,Gaming,Mid,Sunday,12,4569,122420,2594,2543,313,3005411,1473,0.0416,4.6,486964,17.0,"[""tutorial"", ""trending""]"
vid_0135,Exploring Stable Diffusion: a deep dive,Education,Small,Monday,19,2133,8278,375,139,79,104440,757,0.0325,4.2,32829,19.0,"[""deeplearning""]"
vid_0136,The complete guide to RAG systems,Education,Large,Tuesday,15,4300,3122126,130195,39253,31787,89188732,1714,0.0944,1.4,7622189,19.0,"[""tutorial""]"
vid_0137,AI search explained in 10 minutes,Comedy,Mid,Monday,14,2310,29991,1503,29,267,497350,995,0.0124,0.9,211759,19.0,"[""review"", ""explained""]"
vid_0138,The ONLY AI coding tools guide you'll EVER need,Music,Mid,Tuesday,18,1090,334810,15001,2042,3971,2990969,536,0.019,1.3,386839,,"[""tech"", ""trending""]"
vid_0139,This is the BEST AI search tutorial you will EVER watch,Comedy,Small,Friday,8,3388,5904,136,95,49,183220,1862,0.0827,0.6,8326,14.0,"[""explained"", ""review"", ""shorts"", ""ai""]"
vid_0140,The ONLY GPT-4 guide you'll EVER need,Gaming,Mid,Wednesday,23,1997,162235,4228,3127,1552,2076608,768,0.0889,2.9,400406,1.0,"[""ai"", ""trending"", ""explained""]"
vid_0141,Understanding data science careers from scratch,Education,Mid,Friday,21,1810,68195,3098,1272,628,751281,661,0.0364,2.6,169071,9.0,"[""ai"", ""tech"", ""python""]"
vid_0142,The complete guide to Python for AI,News,Large,Friday,20,6806,6079012,367365,14880,46406,325733726,3215,0.0392,2.1,4954654,4.0,"[""ai"", ""review""]"
vid_0143,Exploring local LLMs: a deep dive,Music,Mid,Sunday,16,199,406320,4789,5611,2387,663656,98,0.0704,1.2,377663,,"[""explained"", ""shorts"", ""tech"", ""ai"", ""review""]"
vid_0144,I tried EVERY AI video generation tool — the WINNER shocked me,Music,Mid,Monday,6,504,258569,12976,4678,4358,797254,185,0.01,0.4,322312,16.0,"[""music"", ""trending""]"
vid_0145,Understanding RAG systems from scratch,Music,Small,Sunday,22,621,4167,261,8,25,22154,319,0.01,8.0,23292,16.0,"[""shorts"", ""explained"", ""review"", ""ai"", ""music""]"
vid_0146,How GitHub Copilot actually works,News,Small,Friday,13,1303,15529,663,185,82,181171,700,0.048,3.0,31737,,"[""tech"", ""llm"", ""news"", ""review""]"
vid_0147,A beginner's guide to Sora,Gaming,Mid,Tuesday,2,1437,165898,8834,2263,1615,2283862,826,0.0937,5.3,495607,,"[""trending"", ""viral"", ""review"", ""tutorial"", ""ai""]"
